bid	all
-0.060000	0.031481
-0.059900	0.031481
-0.059800	0.031481
-0.059700	0.031481
-0.059600	0.031481
-0.059500	0.031481
-0.059400	0.031481
-0.059300	0.031481
-0.059200	0.031481
-0.059100	0.031481
-0.059000	0.031481
-0.058900	0.031481
-0.058800	0.031481
-0.058700	0.031481
-0.058600	0.031481
-0.058500	0.031481
-0.058400	0.031481
-0.058300	0.031481
-0.058200	0.031481
-0.058100	0.031481
-0.058000	0.031481
-0.057900	0.031481
-0.057800	0.031481
-0.057700	0.031481
-0.057600	0.031481
-0.057500	0.031481
-0.057400	0.031481
-0.057300	0.031481
-0.057200	0.031481
-0.057100	0.031481
-0.057000	0.031481
-0.056900	0.031481
-0.056800	0.031481
-0.056700	0.031481
-0.056600	0.031481
-0.056500	0.031481
-0.056400	0.031481
-0.056300	0.031481
-0.056200	0.031481
-0.056100	0.031481
-0.056000	0.031481
-0.055900	0.031481
-0.055800	0.031481
-0.055700	0.031481
-0.055600	0.031481
-0.055500	0.031481
-0.055400	0.031481
-0.055300	0.031481
-0.055200	0.031481
-0.055100	0.031481
-0.055000	0.031481
-0.054900	0.031481
-0.054800	0.031481
-0.054700	0.031481
-0.054600	0.031481
-0.054500	0.031481
-0.054400	0.031481
-0.054300	0.031481
-0.054200	0.031481
-0.054100	0.031481
-0.054000	0.031481
-0.053900	0.031481
-0.053800	0.031481
-0.053700	0.031481
-0.053600	0.031481
-0.053500	0.031481
-0.053400	0.031481
-0.053300	0.031481
-0.053200	0.031481
-0.053100	0.031481
-0.053000	0.031481
-0.052900	0.031481
-0.052800	0.031481
-0.052700	0.031481
-0.052600	0.031481
-0.052500	0.031481
-0.052400	0.031481
-0.052300	0.031481
-0.052200	0.031481
-0.052100	0.031481
-0.052000	0.031481
-0.051900	0.031481
-0.051800	0.031481
-0.051700	0.031481
-0.051600	0.031481
-0.051500	0.031481
-0.051400	0.031481
-0.051300	0.031481
-0.051200	0.031481
-0.051100	0.031481
-0.051000	0.031481
-0.050900	0.031481
-0.050800	0.031481
-0.050700	0.031481
-0.050600	0.031481
-0.050500	0.031481
-0.050400	0.031481
-0.050300	0.031481
-0.050200	0.031481
-0.050100	0.031481
-0.050000	0.031481
-0.049900	0.031481
-0.049800	0.031481
-0.049700	0.031481
-0.049600	0.031481
-0.049500	0.031481
-0.049400	0.031481
-0.049300	0.031481
-0.049200	0.031481
-0.049100	0.031481
-0.049000	0.031481
-0.048900	0.031481
-0.048800	0.031481
-0.048700	0.031481
-0.048600	0.031481
-0.048500	0.031481
-0.048400	0.031481
-0.048300	0.031481
-0.048200	0.031481
-0.048100	0.031481
-0.048000	0.031481
-0.047900	0.031481
-0.047800	0.031481
-0.047700	0.031481
-0.047600	0.031481
-0.047500	0.031481
-0.047400	0.031481
-0.047300	0.031481
-0.047200	0.031481
-0.047100	0.031481
-0.047000	0.031481
-0.046900	0.031481
-0.046800	0.031481
-0.046700	0.031481
-0.046600	0.031481
-0.046500	0.031481
-0.046400	0.031481
-0.046300	0.031481
-0.046200	0.031481
-0.046100	0.031481
-0.046000	0.031481
-0.045900	0.031481
-0.045800	0.031481
-0.045700	0.031481
-0.045600	0.031481
-0.045500	0.031481
-0.045400	0.031481
-0.045300	0.031481
-0.045200	0.031481
-0.045100	0.031481
-0.045000	0.031481
-0.044900	0.031481
-0.044800	0.031481
-0.044700	0.031481
-0.044600	0.031481
-0.044500	0.031481
-0.044400	0.031481
-0.044300	0.031481
-0.044200	0.031481
-0.044100	0.031481
-0.044000	0.031481
-0.043900	0.031481
-0.043800	0.031481
-0.043700	0.031481
-0.043600	0.031481
-0.043500	0.031481
-0.043400	0.031481
-0.043300	0.031481
-0.043200	0.031481
-0.043100	0.031481
-0.043000	0.031481
-0.042900	0.031481
-0.042800	0.031481
-0.042700	0.031481
-0.042600	0.031481
-0.042500	0.031481
-0.042400	0.031481
-0.042300	0.031481
-0.042200	0.031481
-0.042100	0.031481
-0.042000	0.031481
-0.041900	0.031481
-0.041800	0.031481
-0.041700	0.031481
-0.041600	0.031481
-0.041500	0.031481
-0.041400	0.031481
-0.041300	0.031481
-0.041200	0.001746
-0.041100	0.001746
-0.041000	0.001746
-0.040900	0.001746
-0.040800	0.001746
-0.040700	0.001746
-0.040600	0.001746
-0.040500	0.001746
-0.040400	0.001746
-0.040300	0.001746
-0.040200	0.001746
-0.040100	0.001746
-0.040000	0.001746
-0.039900	0.056767
-0.039800	0.056767
-0.039700	0.056767
-0.039600	0.056767
-0.039500	0.056767
-0.039400	0.056767
-0.039300	0.056767
-0.039200	0.056767
