up_down_5	up_down_highest_in_3days
0.023900	0.008900
0.016800	0.008100
0.019600	0.001200
0.008900	-0.000700
0.005700	0.008500
-0.004800	0.013300
-0.000700	0.010000
0.008500	0.012800
0.013300	0.017900
0.010000	0.024100
0.012800	0.015300
0.017900	0.009000
0.024100	0.000800
0.015300	-0.001200
0.007800	-0.005400
-0.005800	-0.003100
-0.009700	-0.005100
-0.013600	0.008000
-0.014100	0.015100
-0.013400	0.017500
0.008000	0.004800
0.015100	0.011800
0.014400	0.019100
0.004800	0.012400
0.011800	0.004200
0.019100	-0.006900
0.005500	-0.007300
-0.014700	0.004700
-0.014200	0.004300
-0.014300	0.011300
0.000800	0.008200
0.004300	-0.007000
0.004300	-0.028100
-0.027300	0.000400
-0.035100	-0.002700
-0.035700	0.004900
-0.002300	-0.002000
-0.006300	0.001600
0.000100	0.002800
-0.002000	-0.004400
-0.002800	-0.004400
-0.009700	0.004200
-0.008800	0.017600
-0.013800	0.027000
0.004200	0.024400
0.017600	0.010900
0.019400	0.018500
0.024400	0.003600
0.010900	0.002500
0.009800	0.011200
-0.003100	0.015100
0.002500	0.007100
0.010400	0.008300
0.015100	0.002000
0.007100	0.000800
0.008300	0.000400
0.002000	0.003600
-0.009800	0.025500
-0.003100	0.022700
0.003600	0.022100
0.025500	0.012300
0.022700	0.008000
0.022100	0.001500
0.012300	0.000000
