up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.037900	0.040700	0.035700	0.017000	0.047100	0.015300
0.038000	0.033000	0.021700	0.024400	0.060900	-0.002700
0.042600	0.031300	0.022200	0.026200	0.065500	0.009600
0.036700	0.027600	0.012300	0.024800	0.062000	0.005400
0.032300	0.017000	0.019700	0.020100	0.061100	0.004700
0.017000	0.019700	0.010100	0.030100	0.061100	0.000000
0.024400	0.014800	0.009400	0.036500	0.056400	0.004700
0.026200	0.020800	0.016100	0.039300	0.045000	0.011400
0.024800	0.020100	0.020100	0.037200	0.041000	0.004000
0.015500	0.015500	0.010800	0.045600	0.045600	-0.004600
0.030100	0.025400	0.014000	0.031000	0.045200	0.014600
0.036500	0.025100	0.021100	0.019900	0.034100	0.011100
0.039300	0.035300	0.039900	0.005700	0.019900	0.014200
0.037200	0.041800	0.027200	0.003800	0.019400	0.001900
0.045600	0.031000	0.019900	-0.001300	0.031200	0.003800
0.029700	0.018600	0.004400	0.015500	0.035000	-0.001300
0.014800	0.000600	-0.001300	0.019300	0.038800	-0.003800
-0.008300	-0.010200	-0.014000	0.028200	0.047700	-0.008900
-0.010800	-0.014600	-0.013300	0.030200	0.048300	-0.000600
-0.010100	-0.008800	-0.005000	0.041300	0.043800	0.004500
0.015500	0.019300	0.028200	0.019500	0.026500	0.024300
0.018700	0.027600	0.028200	0.020100	0.044700	-0.000600
0.015700	0.016300	0.011800	0.032000	0.056600	-0.011900
0.030200	0.025700	0.001400	0.018100	0.042700	0.013900
0.041300	0.017000	0.017600	0.002500	0.027100	0.015600
0.019500	0.020100	0.032000	0.007000	0.024600	0.002500
0.010900	0.022800	0.008900	0.033800	0.033800	-0.009200
0.011700	-0.002200	-0.017800	0.044900	0.044900	-0.011100
0.010300	-0.005300	-0.007800	0.032400	0.032400	0.012500
-0.007800	-0.010300	-0.001100	0.034900	0.034900	-0.002500
0.007000	0.016200	0.027300	0.017600	0.017600	0.017300
0.033800	0.044900	0.032400	-0.012000	-0.012000	0.017600
0.032900	0.020400	0.022900	-0.043000	-0.043000	-0.012000
-0.022600	-0.020100	-0.037400	-0.002500	-0.002500	-0.043000
-0.022600	-0.039900	-0.057500	-0.009300	-0.002400	-0.002500
-0.058900	-0.076500	-0.064500	0.010600	0.042700	-0.019000
-0.066800	-0.054800	-0.011800	0.000900	0.033000	0.009700
-0.061800	-0.018800	-0.016300	0.007900	0.051900	-0.007000
-0.031000	-0.028500	-0.009500	0.020100	0.064100	-0.012200
-0.020000	-0.001000	-0.010700	0.017600	0.055600	0.008500
0.010600	0.000900	0.007900	0.032100	0.044000	0.011600
-0.002300	0.004700	0.016900	0.035300	0.051700	-0.003200
0.006000	0.018200	0.009700	0.045900	0.050400	0.001300
0.007300	-0.001200	-0.012800	0.056800	0.076000	-0.010900
0.017600	0.006000	0.009200	0.038000	0.057200	0.018800
0.032100	0.035300	0.034000	0.011900	0.031100	0.026100
0.029100	0.027800	0.038700	0.022600	0.037300	-0.006200
0.045900	0.056800	0.038000	0.004500	0.019200	0.018100
0.056200	0.037400	0.011300	0.019800	0.019800	-0.000600
0.025800	-0.000300	0.005900	0.031400	0.031400	-0.011600
0.000300	0.006500	-0.011600	0.030800	0.030800	0.000600
0.022600	0.004500	0.005100	0.014700	0.018100	0.016100
0.000800	0.001400	0.013000	0.018400	0.033800	-0.003700
0.019800	0.031400	0.030800	0.000000	0.015400	0.018400
0.031400	0.030800	0.014700	-0.000600	0.015400	0.000000
0.030200	0.014100	0.017800	0.000400	0.016000	-0.000600
0.008700	0.012400	-0.006000	0.009400	0.021400	-0.005400
-0.008200	-0.026600	-0.026600	0.042000	0.042000	-0.020600
-0.013600	-0.013600	-0.013000	0.029000	0.029000	0.013000
-0.007500	-0.006900	-0.001500	0.022900	0.022900	0.006100
0.000400	0.005800	0.026400	0.015600	0.015600	0.007300
0.009400	0.030000	0.017000	0.012000	0.012000	0.003600
0.042000	0.029000	0.022900	-0.002400	-0.002400	0.012000
0.026600	0.020500	0.013200	0.000000	0.000000	-0.002400
