up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.029300	0.025100	0.023900	0.008900	0.027800	0.011900
0.025900	0.024700	0.016800	0.008100	0.033300	0.000800
0.031600	0.023700	0.019600	0.007300	0.034600	0.006900
0.024900	0.020800	0.008900	0.007300	0.034200	0.001200
0.018400	0.006500	0.005700	0.011700	0.036600	-0.002400
0.002900	0.002100	-0.004800	0.024900	0.040200	-0.003600
0.007400	0.000500	-0.000700	0.025900	0.034900	0.005300
0.007300	0.006100	0.008500	0.027300	0.028100	0.006800
0.007300	0.009700	0.013300	0.026900	0.026900	0.001200
0.011700	0.015300	0.010000	0.024900	0.024900	0.002000
0.024900	0.019600	0.012800	0.015300	0.015300	0.009600
0.025900	0.019100	0.017900	0.009000	0.009000	0.006300
0.027300	0.026100	0.024100	0.000800	0.000800	0.008200
0.026900	0.024900	0.015300	-0.001200	-0.001200	0.000800
0.023700	0.014100	0.007800	-0.005400	0.007400	-0.001200
0.008700	0.002400	-0.005800	-0.000200	0.017000	-0.005400
-0.000700	-0.008900	-0.009700	0.004100	0.020100	-0.003100
-0.014000	-0.014800	-0.013600	0.009200	0.025200	-0.005100
-0.020700	-0.019500	-0.014100	0.018700	0.031100	-0.005900
-0.021900	-0.016500	-0.013400	0.029300	0.033500	-0.002400
-0.000200	0.002900	0.008000	0.017200	0.017200	0.016300
0.004100	0.009200	0.015100	0.016000	0.016000	0.001200
0.006100	0.012000	0.014400	0.019100	0.019100	-0.003100
0.018700	0.021100	0.004800	0.012400	0.012400	0.006700
0.029300	0.013000	0.011800	0.004200	0.004200	0.008200
0.017200	0.016000	0.019100	-0.006900	-0.006900	0.004200
0.009100	0.012200	0.005500	-0.003000	-0.003000	-0.006900
0.000200	-0.006500	-0.014700	0.009000	0.009000	-0.012000
-0.001800	-0.010000	-0.014200	0.004300	0.004300	0.004700
-0.017000	-0.021200	-0.014300	0.011300	0.011300	-0.007000
-0.018100	-0.011200	0.000800	0.008200	0.008200	0.003100
-0.003000	0.009000	0.004300	-0.007000	-0.007000	0.008200
0.002000	-0.002700	0.004300	-0.028100	-0.028100	-0.007000
-0.031200	-0.024200	-0.027300	0.000400	0.000400	-0.028500
-0.023800	-0.026900	-0.035100	-0.002700	-0.002700	0.000400
-0.034500	-0.042700	-0.035700	0.004900	0.011700	-0.007600
-0.037800	-0.030800	-0.002300	-0.002000	0.006800	0.004900
-0.034400	-0.005900	-0.006300	0.001600	0.017700	-0.003600
-0.007100	-0.007500	0.000100	0.002800	0.022500	-0.001200
-0.004700	0.002900	-0.002000	-0.004400	0.019700	0.002800
-0.001500	-0.006400	-0.002800	0.013200	0.024100	-0.004400
-0.014500	-0.010900	-0.009700	0.021300	0.034700	-0.008100
-0.007200	-0.006000	-0.008800	0.024900	0.031000	0.003700
-0.015400	-0.018200	-0.013800	0.037900	0.046300	-0.009400
-0.008300	-0.003900	0.004200	0.028000	0.037600	0.009900
0.013200	0.021300	0.017600	0.010900	0.020900	0.017100
0.013700	0.010000	0.019400	0.021000	0.028900	-0.007600
0.024900	0.034300	0.024400	0.006100	0.014000	0.014900
0.037900	0.028000	0.010900	0.008400	0.010400	0.003600
0.019300	0.002200	0.009800	0.018300	0.022700	-0.008700
0.004200	0.011800	-0.003100	0.016700	0.032000	0.002000
0.021000	0.006100	0.002500	0.007900	0.027100	0.009200
0.005300	0.001700	0.010400	0.008700	0.034400	-0.000800
0.008400	0.017100	0.015100	0.002000	0.029200	0.006700
0.018300	0.016300	0.007100	0.004400	0.028000	0.001200
0.016700	0.007500	0.008300	0.015300	0.027600	0.000400
0.007900	0.008700	0.002000	0.019200	0.027200	0.000400
-0.001900	-0.008600	-0.009800	0.036300	0.037800	-0.010600
-0.001500	-0.002700	-0.003100	0.030700	0.030700	0.007100
0.004400	0.004000	0.003600	0.023600	0.023600	0.007100
0.015300	0.014900	0.025500	0.012300	0.012300	0.011300
0.019200	0.029800	0.022700	0.008000	0.008000	0.004300
0.036300	0.029200	0.022100	0.001500	0.001500	0.006500
0.030700	0.023600	0.012300	0.000000	0.000000	0.001500
