up_down_5	up_down_highest_in_3days
0.029200	0.012800
0.024100	0.012500
0.022500	0.004300
0.012800	0.000000
0.012500	0.007200
-0.000600	0.017600
-0.000600	0.013300
0.007200	0.013500
0.017600	0.016000
0.012000	0.029600
0.013500	0.020300
0.016000	0.013900
0.029600	0.001600
0.017800	0.004100
0.013900	-0.005600
-0.004000	-0.003500
-0.005000	-0.003800
-0.014500	0.013300
-0.007300	0.014200
-0.007600	0.018000
0.013300	0.003500
0.014200	0.009400
0.010500	0.019700
0.003500	0.011200
0.009400	0.002800
0.019700	-0.000300
0.005000	0.005900
-0.008400	0.019800
-0.000300	0.025700
0.005900	0.025700
0.019800	0.016800
0.025700	-0.009300
0.016400	-0.037000
-0.029800	0.000300
-0.046300	-0.007400
-0.050800	0.006400
-0.007100	-0.002900
-0.010300	0.001300
-0.006400	0.011200
-0.007700	0.006100
0.001300	-0.000600
0.010600	-0.003300
0.002000	0.026000
-0.017500	0.039400
-0.003300	0.033400
0.026000	0.009800
0.030400	0.018800
0.033400	0.002200
0.009800	0.007600
0.004300	0.022100
-0.007600	0.031500
0.007600	0.014100
0.020900	0.017100
0.031500	0.001800
0.012000	0.003900
0.017100	-0.002700
-0.000900	-0.001800
-0.019000	0.030200
-0.011200	0.020000
-0.001800	0.022500
0.030200	0.016300
0.020000	0.014800
0.022500	0.005600
0.016300	0.000000
