up_down_5	up_down_highest_in_3days
0.031200	0.014800
0.028900	0.014300
0.026900	0.006700
0.014800	0.010000
0.014300	0.019100
0.003800	0.025300
0.010000	0.015300
0.019100	0.003300
0.025300	0.002900
0.004300	0.028900
-0.000700	0.021900
0.002900	0.025000
0.028900	0.017500
0.020300	0.019100
0.025000	0.007500
0.017500	-0.001600
0.017500	-0.003500
-0.000400	0.020300
-0.005100	0.025300
-0.009400	0.031200
0.020300	0.009400
0.025300	0.027000
0.024300	0.034700
0.009400	0.026200
0.027000	0.000800
0.034700	0.000400
0.013100	0.013500
-0.019100	0.030100
0.000400	0.031700
0.010500	0.034700
0.030100	0.021900
0.031700	-0.008700
0.026000	-0.047300
-0.034100	-0.006900
-0.062900	-0.010000
-0.068100	0.003900
-0.016900	-0.007000
-0.017000	-0.006300
-0.026300	0.018500
-0.029400	0.017700
-0.006300	0.001600
0.018500	0.001200
0.007800	0.040000
-0.019900	0.051600
0.001200	0.032100
0.040000	0.003200
0.040400	0.014400
0.032100	-0.001200
0.002000	0.007400
0.004000	0.017000
-0.005400	0.022700
0.007400	0.013400
0.017000	0.013400
0.022700	0.002700
0.013400	0.000400
0.013400	-0.006400
-0.003700	-0.010400
-0.023000	0.021900
-0.019900	0.021400
-0.010400	0.032600
0.021900	0.021400
0.021400	0.018400
0.032600	0.004100
0.021400	0.000000
