up_down_5	up_down_highest_in_3days
0.021000	0.007400
0.014500	0.025800
0.016000	0.017300
0.007400	0.016800
0.025800	0.011400
0.013200	0.015500
0.015300	0.012900
0.011400	0.007300
0.011900	0.017000
0.001100	0.037300
0.007300	0.018700
0.017000	0.012600
0.037300	0.001500
0.018700	0.009000
0.011600	0.010000
0.001500	0.008000
0.009000	-0.004900
0.005100	0.013300
-0.003300	0.019700
-0.021300	0.029700
0.013300	0.008900
0.018200	0.035100
0.024300	0.057500
0.008900	0.043200
0.035100	0.018500
0.057500	-0.017100
0.024600	0.001500
-0.008600	0.010900
-0.017100	0.009900
-0.017900	0.029300
0.010900	0.009000
0.009900	-0.014100
0.015200	-0.045100
-0.050200	-0.003000
-0.062200	-0.008200
-0.070100	0.013800
-0.011200	-0.004500
-0.012700	-0.006800
-0.011400	0.013900
-0.018500	0.007200
-0.006800	-0.012200
0.001700	-0.002900
-0.011200	0.033800
-0.029800	0.045200
-0.002900	0.030500
0.033800	-0.002400
0.036200	0.006600
0.028100	-0.007500
-0.009900	-0.005500
-0.015100	0.008700
-0.021200	0.027600
-0.005500	0.027900
0.008200	0.028400
0.027600	0.008500
0.027900	0.000000
