up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.032400	0.026500	0.011100	-0.000400	-0.000400	0.009800
0.026100	0.010700	0.012700	-0.005600	-0.004600	-0.000400
0.001300	0.003300	0.000000	0.004800	0.006800	-0.009400
0.000400	-0.002900	-0.012700	0.007700	0.023700	-0.002900
0.003800	-0.006000	-0.005600	0.001000	0.017000	0.006700
-0.014200	-0.013800	-0.004400	0.009200	0.026300	-0.008200
-0.008200	0.001200	0.004100	0.003600	0.028600	0.005600
0.004800	0.007700	0.001000	0.002000	0.025000	0.003600
-0.005100	-0.011800	-0.003600	0.028800	0.037800	-0.012800
-0.010100	-0.001900	-0.007500	0.027100	0.036100	0.001700
0.006500	0.000900	-0.002700	0.019800	0.029500	0.008400
-0.000200	-0.003800	0.009000	0.028800	0.033500	-0.001100
0.002000	0.014800	0.013100	0.023000	0.031500	0.005800
0.028800	0.027100	0.018700	0.009000	0.034600	0.014000
0.026500	0.018100	0.019200	0.009600	0.060100	-0.000600
0.019800	0.020900	0.015100	0.009700	0.067100	0.001700
0.028800	0.023000	0.009000	0.004700	0.059200	0.007900
0.013700	-0.000300	0.000300	0.017800	0.068500	-0.009300
-0.008100	-0.007500	-0.009200	0.042700	0.076300	-0.007800
-0.007300	-0.009000	-0.016900	0.067400	0.076100	0.000200
0.009700	0.001800	0.011100	0.057400	0.061200	0.018700
0.004700	0.014000	0.021800	0.054500	0.060800	0.002900
0.017800	0.025600	0.025400	0.050700	0.057000	0.003800
0.042700	0.042500	0.023800	0.033600	0.039900	0.017100
0.067400	0.048700	0.045800	0.008700	0.015000	0.024900
0.057400	0.054500	0.050700	0.003800	0.006300	0.008700
0.048300	0.044500	0.027400	0.012500	0.012500	-0.006200
0.030900	0.013800	-0.011100	0.026100	0.026100	-0.013600
0.030800	0.005900	-0.002800	0.009100	0.009100	0.017000
-0.002000	-0.010700	-0.004500	0.017000	0.017000	-0.007900
0.003800	0.010000	0.023600	0.002500	0.002500	0.014500
0.012500	0.026100	0.009100	-0.005000	-0.005000	0.002500
0.021100	0.004100	0.012000	-0.031900	-0.031900	-0.005000
-0.034400	-0.026500	-0.041000	0.006600	0.006600	-0.038500
-0.030700	-0.045200	-0.047700	0.010800	0.010800	-0.004200
-0.057400	-0.059900	-0.054900	0.023000	0.023000	-0.012200
-0.051900	-0.046900	-0.008400	0.015000	0.015000	0.008000
-0.031900	0.006600	0.010800	-0.013400	-0.011200	0.015000
-0.009200	-0.005000	0.007200	0.002400	0.004600	-0.015800
-0.002600	0.009600	0.001600	-0.000700	0.002200	0.002400
0.008900	0.000900	-0.014100	0.002900	0.002900	-0.000700
-0.010800	-0.025800	-0.010000	0.014600	0.014600	-0.011700
-0.021200	-0.005400	-0.007800	0.010000	0.010000	0.004600
-0.015500	-0.017900	-0.017200	0.020100	0.020100	-0.010100
-0.012700	-0.012000	-0.000300	0.014900	0.014900	0.005200
0.002900	0.014600	0.010000	-0.005400	-0.005400	0.014900
0.000800	-0.003800	0.006300	0.008400	0.008400	-0.013800
0.004600	0.014700	0.009500	-0.006400	-0.006400	0.008400
0.008300	0.003100	-0.011800	-0.002900	-0.002900	-0.006400
-0.011400	-0.026300	-0.012500	0.011600	0.011600	-0.014500
-0.034000	-0.020200	-0.028600	0.019300	0.030000	-0.007700
-0.009900	-0.018300	-0.011900	0.009000	0.027400	0.010300
-0.022200	-0.015800	-0.001300	0.012900	0.037000	-0.003900
-0.002900	0.011600	0.019300	-0.002000	0.025900	0.012900
0.009600	0.017300	0.007000	-0.003100	0.027900	-0.002000
0.007500	-0.002800	0.001100	0.022500	0.037700	-0.009800
0.003600	0.007500	-0.005400	0.023800	0.031300	0.006400
-0.007400	-0.020300	-0.018300	0.044400	0.046200	-0.014900
-0.015700	-0.013700	-0.003900	0.041600	0.041600	0.004600
-0.003100	0.006700	0.000300	0.031000	0.031000	0.010600
0.022500	0.016100	0.031000	0.015200	0.015200	0.015800
0.023800	0.038700	0.034100	0.007500	0.007500	0.007700
0.044400	0.039800	0.029200	0.001800	0.001800	0.005700
0.041600	0.031000	0.015200	0.000000	0.000000	0.001800
