up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.028800	0.033300	0.032600	0.021700	0.045200	0.018100
0.037300	0.036600	0.031400	0.024300	0.042900	0.004000
0.049700	0.044500	0.035200	0.023300	0.039400	0.013100
0.049100	0.039800	0.021700	0.023500	0.044300	0.004600
0.039800	0.021700	0.017700	0.023500	0.064800	0.000000
0.020400	0.016400	0.003300	0.024800	0.066400	-0.001300
0.024300	0.011200	0.006600	0.018600	0.058500	0.007900
0.023300	0.018700	0.018700	0.016100	0.046400	0.012100
0.023500	0.023500	0.024800	0.020800	0.041600	0.004800
0.010300	0.011600	0.003700	0.054500	0.054800	-0.013200
0.022000	0.014100	0.002000	0.044400	0.059800	0.010400
0.018600	0.006500	0.001700	0.039900	0.055600	0.004500
0.016100	0.011300	0.024500	0.030300	0.046000	0.009600
0.020800	0.034000	0.023600	0.020800	0.036500	0.009500
0.054500	0.044100	0.039600	0.000300	0.039700	0.020500
0.044400	0.039900	0.030300	0.015400	0.039400	0.000300
0.035600	0.026000	0.016500	0.020000	0.043700	-0.004300
0.019200	0.009700	-0.010800	0.026800	0.050500	-0.006800
0.013400	-0.007100	-0.007400	0.023100	0.049800	0.003700
-0.009900	-0.010200	-0.005900	0.049600	0.052600	-0.002800
0.015400	0.019700	0.026500	0.024000	0.027000	0.025600
0.020000	0.026800	0.023100	0.023700	0.047000	0.000300
0.019500	0.015800	0.018600	0.031000	0.054300	-0.007300
0.022500	0.025300	-0.000300	0.027300	0.047600	0.006700
0.049600	0.024000	0.023700	0.003000	0.023300	0.024300
0.022500	0.022200	0.029500	0.004500	0.024800	-0.001500
0.003500	0.010800	0.004100	0.043500	0.043500	-0.018700
0.013200	0.006500	-0.017800	0.041100	0.041100	0.002400
0.027300	0.003000	0.004500	0.020300	0.020300	0.020800
-0.001700	-0.000200	0.018500	0.025000	0.025000	-0.004700
0.001300	0.020000	0.017600	0.023500	0.023500	0.001500
0.043500	0.041100	0.020300	-0.016500	-0.016500	0.023500
0.024600	0.003800	0.008500	-0.039500	-0.039500	-0.016500
-0.035700	-0.031000	-0.032500	-0.002800	-0.002800	-0.039500
-0.033800	-0.035300	-0.058800	-0.007900	-0.007900	-0.002800
-0.050700	-0.074200	-0.057700	0.007500	0.028800	-0.015400
-0.066700	-0.050200	-0.010700	-0.002500	0.021300	0.007500
-0.063200	-0.023700	-0.020900	0.010500	0.046300	-0.013000
-0.034100	-0.031300	-0.015900	0.020900	0.056700	-0.010400
-0.034200	-0.018800	-0.026300	0.023800	0.059600	-0.002900
0.000000	-0.007500	0.005500	0.028800	0.040800	0.018800
-0.002500	0.010500	0.020900	0.023800	0.043100	0.005000
-0.000700	0.009700	0.012600	0.047000	0.062100	-0.011200
-0.004200	-0.001300	-0.020100	0.060900	0.083100	-0.013900
0.015900	-0.002900	-0.007900	0.043700	0.065900	0.017200
0.028800	0.023800	0.035000	0.012000	0.034200	0.031700
0.017400	0.028600	0.042500	0.025700	0.040600	-0.006400
0.047000	0.060900	0.043700	0.015100	0.022200	0.018400
0.056100	0.038900	0.007200	0.027000	0.027000	-0.004800
0.029800	-0.001900	0.004500	0.036100	0.036100	-0.009100
0.006600	0.013000	-0.005400	0.027600	0.027600	0.008500
0.025700	0.007300	0.012100	0.014900	0.017200	0.012700
0.015100	0.019900	0.029000	0.007100	0.022300	0.007800
0.027000	0.036100	0.027600	-0.001400	0.017800	0.007100
0.033500	0.025000	0.012300	0.001200	0.020400	-0.002600
0.026200	0.013500	0.005700	0.001300	0.019200	0.001200
0.007000	-0.000800	-0.007900	0.010200	0.025700	-0.006500
-0.021300	-0.028400	-0.025800	0.043600	0.046200	-0.020500
-0.009300	-0.006700	-0.007900	0.027100	0.027100	0.019100
-0.010000	-0.011200	-0.004700	0.030400	0.030400	-0.003300
0.001300	0.007800	0.028300	0.017900	0.017900	0.012500
0.010200	0.030700	0.011600	0.015500	0.015500	0.002400
0.043600	0.024500	0.027800	0.002600	0.002600	0.012900
0.027100	0.030400	0.017900	0.000000	0.000000	0.002600
