up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.031900	0.034200	0.028800	0.011100	0.038200	0.012800
0.039400	0.034000	0.024800	0.005900	0.037300	0.005200
0.038400	0.029200	0.022400	0.003000	0.045000	0.004400
0.030700	0.023900	0.011100	0.012500	0.051900	0.001500
0.021000	0.008200	0.003000	0.015400	0.064600	-0.002900
0.006000	0.000800	-0.003600	0.032200	0.066800	-0.002200
0.001500	-0.002900	-0.004400	0.035800	0.066100	0.000700
0.003000	0.001500	0.004400	0.042000	0.060200	0.005900
0.012500	0.015400	0.017600	0.039400	0.050700	0.011000
0.014700	0.016900	0.016200	0.049900	0.056200	-0.000700
0.032200	0.031500	0.025600	0.034600	0.062900	0.015300
0.035800	0.029900	0.018900	0.030300	0.058600	0.004300
0.042000	0.031000	0.031700	0.018200	0.046500	0.012100
0.039400	0.040100	0.024800	0.011300	0.038100	0.008400
0.049900	0.034600	0.030300	0.006300	0.048600	0.009800
0.027700	0.023400	0.011300	0.035200	0.058100	-0.006900
0.029000	0.016900	0.008500	0.029600	0.052500	0.005600
0.016900	0.008500	-0.001300	0.029600	0.052500	0.000000
0.011300	0.001500	0.008400	0.026800	0.058700	0.002800
0.006300	0.013200	0.007600	0.042300	0.053900	0.004800
0.035200	0.029600	0.029600	0.022900	0.042400	0.022000
0.028300	0.028300	0.025500	0.024200	0.058500	-0.001300
0.017500	0.014700	0.009900	0.035000	0.069300	-0.010800
0.024900	0.020100	-0.001900	0.033800	0.059100	0.010200
0.042300	0.020300	0.021600	0.011600	0.036900	0.022200
0.022900	0.024200	0.035000	0.019500	0.034300	0.002600
0.011100	0.021900	0.011700	0.047400	0.047400	-0.013100
0.017900	0.007700	-0.014500	0.051400	0.051400	-0.004000
0.033800	0.011600	0.009000	0.025300	0.025300	0.026100
0.009000	0.006400	0.019500	0.027900	0.027900	-0.002600
0.019500	0.032600	0.036600	0.014800	0.014800	0.013100
0.047400	0.051400	0.025300	-0.011400	-0.011400	0.014800
0.040000	0.013900	0.016500	-0.039200	-0.039200	-0.011400
-0.026600	-0.024000	-0.037100	0.001300	0.001300	-0.040500
-0.022700	-0.035800	-0.050600	-0.006400	-0.006400	0.001300
-0.055200	-0.070000	-0.058600	0.013000	0.039800	-0.019400
-0.057000	-0.045600	-0.005100	-0.006500	0.026800	0.013000
-0.053700	-0.013200	-0.014500	0.001600	0.040400	-0.008100
-0.031500	-0.032800	-0.013400	0.019900	0.061300	-0.018300
-0.026600	-0.007200	-0.020200	0.018000	0.055100	0.006200
0.006500	-0.006500	0.001600	0.033300	0.041400	0.013700
-0.010600	-0.002500	0.015800	0.037400	0.049500	-0.004100
-0.003900	0.014400	0.008200	0.044300	0.060600	-0.001400
0.002800	-0.003400	-0.017100	0.058500	0.085000	-0.011600
0.018000	0.004300	0.008400	0.037100	0.063600	0.021400
0.033300	0.037400	0.038800	0.008100	0.034600	0.029000
0.025600	0.027000	0.038600	0.023900	0.046400	-0.011800
0.044300	0.055900	0.034500	0.016300	0.029100	0.017300
0.058500	0.037100	0.008100	0.026500	0.026500	0.002600
0.029300	0.000300	0.012100	0.034300	0.034300	-0.007800
-0.000400	0.011400	-0.005900	0.035000	0.035000	-0.000700
0.023900	0.006600	0.004000	0.022500	0.022500	0.012500
0.016300	0.013700	0.021500	0.012800	0.012800	0.009700
0.026500	0.034300	0.035000	-0.003200	-0.003200	0.012800
0.031100	0.031800	0.019300	-0.001300	-0.001300	-0.003200
0.030500	0.018000	0.008300	-0.007600	-0.003900	-0.001300
0.010400	0.000700	-0.012100	-0.004700	0.003700	-0.007600
-0.024300	-0.037100	-0.033900	0.028700	0.028700	-0.025000
-0.022600	-0.019400	-0.018100	0.014200	0.014200	0.014500
-0.019400	-0.018100	-0.010500	0.014200	0.014200	0.000000
-0.012300	-0.004700	0.020300	0.008400	0.008400	0.005800
-0.004700	0.020300	0.005800	0.008400	0.008400	0.000000
0.028700	0.014200	0.014200	-0.001300	-0.001300	0.008400
0.012900	0.012900	0.007100	0.000000	0.000000	-0.001300
