up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.044800	0.047000	0.028100	-0.001100	0.002100	0.031300
0.045900	0.027000	0.040700	-0.006300	0.003200	-0.001100
0.014800	0.028500	0.018000	0.005900	0.015400	-0.012200
0.032300	0.021800	-0.009500	0.002100	0.011600	0.003800
0.023900	-0.007400	-0.006300	0.001500	0.009500	0.002100
-0.010100	-0.009000	0.003200	0.012200	0.012200	-0.002700
-0.014900	-0.002700	-0.006500	0.018100	0.018100	-0.005900
-0.000500	-0.004300	-0.006400	0.015900	0.015900	0.002200
-0.018300	-0.020400	-0.017700	0.029900	0.029900	-0.014000
0.001500	0.004200	0.010100	0.008000	0.008000	0.021900
0.012200	0.018100	0.015900	-0.001500	0.001400	0.008000
0.012300	0.010100	0.024100	0.004300	0.018900	-0.005800
0.014400	0.028400	0.006500	-0.010100	0.018800	0.004300
0.018300	-0.003600	-0.011600	0.002800	0.044600	-0.010100
-0.017600	-0.025600	-0.019800	0.016800	0.058600	-0.014000
-0.024500	-0.018700	-0.023000	0.025900	0.066300	0.001100
-0.010000	-0.014300	-0.004200	0.028900	0.059600	0.008700
-0.010500	-0.000400	0.013600	0.029300	0.055800	0.003800
0.002800	0.016800	0.015700	0.041800	0.052600	0.003200
0.013000	0.011900	0.003200	0.045600	0.056400	-0.003800
0.025900	0.017200	0.013400	0.040400	0.042400	0.014000
0.028900	0.025100	0.021900	0.030700	0.030700	0.011700
0.029300	0.026100	0.029900	0.026500	0.026700	0.004200
0.041800	0.045600	0.031600	0.010800	0.011000	0.015700
0.044100	0.030100	0.018400	0.012300	0.012500	-0.001500
0.040400	0.028700	0.024500	0.002000	0.002200	0.010300
0.030700	0.026500	0.010800	-0.002400	0.000200	0.002000
0.012300	-0.003400	-0.001900	0.014400	0.014400	-0.014200
0.004300	0.005800	-0.004500	0.006700	0.006700	0.007700
0.002200	-0.008100	-0.010100	0.010300	0.010300	-0.003600
-0.008600	-0.010600	0.003600	0.010800	0.010800	-0.000500
-0.002400	0.011800	0.004100	0.002600	0.002600	0.008200
0.014400	0.006700	0.010300	-0.007600	-0.007600	0.002600
-0.005000	-0.001400	-0.000900	0.004100	0.004100	-0.011700
0.002700	0.003200	-0.005000	-0.003000	-0.003000	0.004100
-0.009100	-0.017300	-0.019900	0.009300	0.009300	-0.012300
-0.008000	-0.010600	0.001100	-0.001000	-0.001000	0.009300
-0.011600	0.000100	-0.004000	-0.017000	-0.017000	-0.001000
-0.016900	-0.021000	-0.008700	-0.002000	-0.002000	-0.017000
-0.026200	-0.013900	-0.023200	0.003200	0.003200	-0.005200
-0.010700	-0.020000	-0.019000	-0.010100	-0.010100	0.003200
-0.032100	-0.031100	-0.014100	0.002000	0.002000	-0.012100
-0.065600	-0.048600	-0.043400	0.036500	0.036500	-0.034500
-0.043600	-0.038400	-0.041600	0.031500	0.031500	0.005000
-0.019800	-0.023000	-0.010900	0.012900	0.012900	0.018600
-0.010100	0.002000	0.036500	-0.013200	-0.013200	0.012900
-0.013400	0.021100	0.016100	0.002200	0.002200	-0.015400
0.023300	0.018300	-0.000300	-0.002700	-0.002700	0.002200
0.015600	-0.003000	-0.015900	-0.011100	0.004300	-0.002700
-0.021300	-0.034200	-0.018800	0.017700	0.026900	-0.018300
-0.034700	-0.019300	-0.021500	0.018200	0.054700	-0.000500
-0.011600	-0.013800	-0.011100	0.010500	0.054300	0.007700
-0.023600	-0.020900	-0.002600	0.020300	0.064100	-0.009800
-0.012600	0.005700	0.006200	0.016900	0.055800	0.008300
0.017700	0.018200	0.010500	0.009200	0.043800	0.012000
0.016000	0.008300	0.018100	0.038700	0.046000	-0.002200
0.005600	0.015400	0.007100	0.048700	0.048700	-0.002700
0.014300	0.006000	-0.006000	0.049800	0.049800	-0.001100
0.016900	0.004900	0.007100	0.038900	0.038900	0.010900
0.009200	0.011400	0.014100	0.034600	0.034600	0.004300
0.038700	0.041400	0.042500	0.007300	0.007300	0.027300
0.048700	0.049800	0.038900	0.000000	0.000000	0.007300
0.049800	0.038900	0.034600	0.000000	0.000000	0.000000
