up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.037700	0.040000	0.035700	0.009500	0.033800	0.010700
0.040400	0.036100	0.020400	0.015100	0.040500	0.000400
0.041900	0.026200	0.016900	0.023700	0.038000	0.005800
0.029500	0.020200	0.009500	0.024300	0.042900	0.003300
0.018300	0.007600	0.007200	0.026200	0.053600	-0.001900
0.005900	0.005500	-0.000300	0.027900	0.057300	-0.001700
0.015100	0.009300	0.006000	0.025400	0.047700	0.009600
0.023700	0.020400	0.022300	0.014300	0.033300	0.014400
0.024300	0.026200	0.027900	0.018600	0.029400	0.003900
0.019800	0.021500	0.011900	0.033800	0.035800	-0.006400
0.022200	0.012600	-0.001800	0.035100	0.042300	0.000700
0.025400	0.011000	0.007100	0.022300	0.034700	0.012800
0.014300	0.010400	0.016800	0.019000	0.031400	0.003300
0.018600	0.025000	0.024300	0.010800	0.025800	0.008200
0.033800	0.033100	0.020300	0.002000	0.031100	0.008800
0.035100	0.022300	0.019000	0.007200	0.037000	0.002000
0.018100	0.014800	0.006600	0.016600	0.041200	-0.004200
0.009600	0.001400	-0.007400	0.021800	0.046400	-0.005200
0.001300	-0.007500	-0.009500	0.024500	0.049000	-0.000100
-0.013300	-0.015300	-0.011100	0.044400	0.054800	-0.005800
0.007200	0.011400	0.016600	0.029800	0.032300	0.022500
0.016600	0.021800	0.021900	0.024600	0.052300	0.005200
0.015500	0.015600	0.021400	0.030900	0.058600	-0.006300
0.024500	0.030300	0.007800	0.024500	0.049700	0.008900
0.044400	0.021900	0.016700	0.010400	0.035600	0.014100
0.029800	0.024600	0.030900	0.002500	0.027700	0.007900
0.018300	0.024600	0.015700	0.034000	0.034000	-0.006300
0.016000	0.007100	-0.007000	0.042600	0.042600	-0.008600
0.024500	0.010400	0.002500	0.025200	0.025200	0.017400
0.002300	-0.005600	0.000700	0.033300	0.033300	-0.008100
0.000400	0.006700	0.015300	0.027300	0.027300	0.006000
0.034000	0.042600	0.025200	-0.009300	-0.009300	0.027300
0.033300	0.015900	0.024000	-0.041800	-0.041800	-0.009300
-0.025900	-0.017800	-0.023800	-0.004900	-0.004900	-0.041800
-0.022700	-0.028700	-0.056000	-0.011100	-0.011100	-0.004900
-0.046800	-0.074100	-0.064800	0.007000	0.019600	-0.018100
-0.067100	-0.057800	-0.016000	-0.001000	0.012600	0.007000
-0.058800	-0.017000	-0.012100	-0.009700	0.020600	-0.001000
-0.041700	-0.036800	-0.018700	0.015000	0.045300	-0.024700
-0.031400	-0.013300	-0.020300	0.009600	0.039900	0.005400
-0.003700	-0.010700	-0.009700	0.023300	0.030300	0.009600
-0.015100	-0.014100	0.010600	0.027700	0.034700	-0.004400
-0.023600	0.001100	-0.004300	0.044200	0.044300	-0.009500
-0.014300	-0.019700	-0.029300	0.059600	0.074400	-0.015400
-0.001900	-0.011500	-0.007100	0.041800	0.062700	0.017800
0.023300	0.027700	0.037200	0.007000	0.027900	0.034800
0.016900	0.026400	0.041800	0.017800	0.038700	-0.010800
0.044200	0.059600	0.041800	0.000100	0.020900	0.017800
0.055400	0.037600	0.002800	0.019000	0.025100	-0.004200
0.026800	-0.008000	0.002800	0.035900	0.035900	-0.010800
-0.009500	0.001300	-0.016500	0.037400	0.037400	-0.001500
0.011500	-0.006300	-0.002100	0.027200	0.031400	0.010200
0.000100	0.004300	0.015100	0.020800	0.036300	0.006400
0.019000	0.029800	0.031300	0.006100	0.021600	0.014700
0.035900	0.037400	0.027200	-0.002200	0.015500	0.006100
0.035200	0.025000	0.018600	-0.007000	0.017700	-0.002200
0.018000	0.011600	-0.003100	0.013400	0.024700	-0.007000
-0.010400	-0.025100	-0.031200	0.046700	0.046700	-0.022000
-0.014000	-0.020100	-0.017900	0.035600	0.035600	0.011100
-0.017400	-0.015200	-0.008200	0.032900	0.032900	0.002700
-0.008100	-0.001100	0.020900	0.025800	0.025800	0.007100
0.013400	0.035400	0.024300	0.011300	0.011300	0.014500
0.046700	0.035600	0.032900	0.000000	0.000000	0.011300
0.035600	0.032900	0.025800	0.000000	0.000000	0.000000
