up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.025400	0.023900	0.018100	0.002100	0.009900	0.009700
0.026000	0.020200	0.019100	-0.002800	0.009600	0.002100
0.015200	0.014100	0.006800	0.002200	0.027000	-0.005000
0.009800	0.002500	-0.007200	0.006500	0.031300	-0.004300
0.009000	-0.000700	-0.002800	0.003800	0.024800	0.006500
-0.013200	-0.015300	-0.010300	0.023100	0.037300	-0.012500
-0.007700	-0.002700	0.001600	0.017300	0.029700	0.007600
-0.000500	0.003800	-0.002700	0.027500	0.027500	0.002200
-0.000900	-0.007400	0.005100	0.032200	0.032200	-0.004700
0.003800	0.016300	0.008700	0.021000	0.021000	0.011200
0.023100	0.015500	0.013300	0.014200	0.014200	0.006800
0.017300	0.015100	0.019800	0.012400	0.012400	0.001800
0.027500	0.032200	0.021000	-0.001400	-0.001400	0.012400
0.030800	0.019600	0.012800	-0.007300	-0.007300	-0.001400
0.012300	0.005500	0.003700	-0.001700	0.003000	-0.007300
-0.002900	-0.004700	-0.017100	0.006700	0.019100	-0.008400
0.002000	-0.010400	-0.009000	-0.006700	0.012400	0.006700
-0.017100	-0.015700	-0.008400	-0.000300	0.019100	-0.006700
-0.029500	-0.022200	-0.013800	0.022000	0.032900	-0.013800
-0.031500	-0.023100	-0.029800	0.034500	0.042200	-0.009300
-0.011800	-0.018500	-0.011800	0.030900	0.030900	0.011300
-0.012000	-0.005300	0.008500	0.024400	0.024400	0.006500
-0.000300	0.013500	0.022800	0.019400	0.019400	0.005000
0.022000	0.031300	0.020000	0.010900	0.010900	0.008500
0.034500	0.023200	0.016700	0.007700	0.007700	0.003200
0.030900	0.024400	0.019400	-0.008400	-0.008400	0.007700
0.016000	0.011000	0.002500	-0.009000	-0.009000	-0.008400
-0.004100	-0.012600	-0.015800	0.006100	0.006100	-0.015100
-0.006500	-0.009700	-0.017400	-0.011700	-0.011700	0.006100
-0.033400	-0.041100	-0.032700	0.012000	0.012000	-0.023700
-0.029100	-0.020700	-0.005600	0.000000	0.000000	0.012000
-0.020700	-0.005600	-0.011700	-0.009300	-0.009300	0.000000
-0.014900	-0.021000	0.002700	-0.018600	-0.017100	-0.009300
-0.046700	-0.023000	-0.035000	0.007100	0.008600	-0.025700
-0.027100	-0.039100	-0.039100	0.011200	0.012700	-0.004100
-0.044300	-0.044300	-0.035000	0.017900	0.017900	-0.005200
-0.030100	-0.020800	0.004900	0.003700	0.003700	0.014200
-0.018600	0.007100	0.011200	0.001500	0.001500	0.002200
-0.001800	0.002300	0.007500	0.010400	0.010400	-0.008900
0.010500	0.015700	0.001500	0.002200	0.002200	0.008200
0.017900	0.003700	0.001500	-0.003700	-0.003700	0.002200
-0.016900	-0.019100	-0.010200	0.016900	0.016900	-0.020600
-0.013100	-0.004200	-0.012400	0.010900	0.010900	0.006000
-0.010900	-0.019100	-0.021300	0.017600	0.024000	-0.006700
-0.008200	-0.010400	0.010200	0.006700	0.013100	0.010900
-0.003700	0.016900	0.010900	-0.001400	0.006400	0.006700
0.011400	0.005400	0.012100	0.004500	0.011900	-0.005500
0.008000	0.014700	0.003800	0.001900	0.009300	0.002600
0.016200	0.005300	-0.001400	0.007800	0.007800	0.001500
-0.001400	-0.008100	-0.002600	0.014500	0.014500	-0.006700
-0.010300	-0.004800	-0.007400	0.016700	0.016700	-0.002200
0.004500	0.001900	0.000400	0.007400	0.016000	0.009300
-0.001800	-0.003300	0.003400	0.011100	0.024800	-0.003700
0.007800	0.014500	0.016700	-0.005100	0.013700	0.011100
0.009400	0.011600	0.002300	-0.011600	0.018800	-0.005100
-0.003900	-0.013200	-0.009500	0.017400	0.034300	-0.015500
-0.010900	-0.007200	-0.018300	0.026900	0.032000	0.002300
-0.015800	-0.026900	-0.021800	0.040600	0.040600	-0.008600
-0.025400	-0.020300	-0.004800	0.039100	0.039100	0.001500
-0.011600	0.003900	0.001600	0.030400	0.030400	0.008700
0.017400	0.015100	0.023700	0.016900	0.016900	0.013500
0.026900	0.035500	0.034000	0.005100	0.005100	0.011800
0.040600	0.039100	0.030400	-0.001100	-0.001100	0.005100
0.038000	0.029300	0.015800	0.000000	0.000000	-0.001100
