up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.021700	0.025100	0.025100	0.025900	0.060700	0.014900
0.039100	0.039100	0.030900	0.011900	0.049800	0.014000
0.045700	0.037500	0.035500	0.016400	0.057600	0.006600
0.042100	0.040100	0.025200	0.018900	0.053000	0.004600
0.040800	0.025900	0.011900	0.018200	0.052300	0.000700
0.022000	0.008000	0.001400	0.038700	0.056200	-0.003900
0.011300	0.004700	0.000100	0.038500	0.052900	0.003300
0.016400	0.011800	0.011100	0.041200	0.041200	0.011700
0.018900	0.018200	0.022100	0.034100	0.034100	0.007100
0.016300	0.020200	0.016900	0.036000	0.036000	-0.001900
0.038700	0.035400	0.023700	0.017500	0.038300	0.018500
0.038500	0.026800	0.019700	0.014400	0.035200	0.003100
0.041200	0.034100	0.036000	-0.007400	0.020800	0.014400
0.023000	0.024900	0.006400	0.003700	0.031900	-0.011100
0.028600	0.010100	0.007000	-0.007500	0.028200	0.003700
0.002000	-0.001100	-0.015500	0.036300	0.036300	-0.008100
-0.002400	-0.016800	-0.005700	0.037600	0.037600	-0.001300
-0.019300	-0.008200	-0.011900	0.040100	0.040100	-0.002500
-0.006300	-0.010000	-0.001900	0.038200	0.038200	0.001900
-0.007500	0.000600	0.001900	0.035700	0.035700	0.002500
0.036300	0.037600	0.040100	-0.001100	-0.001100	0.035700
0.036400	0.038900	0.037000	0.000100	0.000100	-0.001200
0.026800	0.024900	0.022400	0.012200	0.012200	-0.012100
0.030400	0.027900	-0.007800	0.006700	0.006700	0.005500
0.034600	-0.001100	0.000100	-0.000600	-0.000600	0.006700
-0.001700	-0.000500	0.011600	-0.000300	-0.000300	-0.000600
-0.019900	-0.007800	-0.013300	0.019100	0.019100	-0.019400
-0.006600	-0.012100	-0.018800	0.017900	0.017900	0.001200
0.005800	-0.000900	-0.000300	-0.003400	-0.003400	0.017900
-0.019700	-0.019100	0.000300	0.015400	0.015400	-0.018800
-0.003700	0.015700	0.014500	0.000000	0.000000	0.015400
0.015700	0.014500	-0.003400	-0.009700	-0.009700	0.000000
0.004800	-0.013100	0.005700	-0.036300	-0.036300	-0.009700
-0.050000	-0.031200	-0.046600	0.000600	0.000600	-0.036900
-0.030600	-0.046000	-0.046000	-0.001700	-0.000200	0.000600
-0.058700	-0.058700	-0.049000	0.011000	0.042500	-0.012700
-0.047700	-0.038000	-0.001100	-0.001300	0.031500	0.011000
-0.048900	-0.012000	-0.012600	0.009600	0.042500	-0.010900
-0.017200	-0.017800	-0.005100	0.014800	0.051400	-0.005200
-0.010700	0.002000	-0.009000	0.010500	0.044300	0.007100
0.009700	-0.001300	0.009600	0.032800	0.036600	0.007700
-0.013400	-0.002500	0.002700	0.044900	0.048700	-0.012100
0.001400	0.006600	-0.000500	0.041100	0.044800	0.003900
0.006000	-0.001100	-0.008800	0.045400	0.054400	-0.000600
0.010500	0.002800	0.014900	0.033800	0.044600	0.011600
0.032800	0.044900	0.041000	0.003800	0.015200	0.030000
0.038100	0.034200	0.034800	0.010600	0.022000	-0.006800
0.041100	0.041700	0.030100	0.003700	0.015100	0.006900
0.045400	0.033800	0.003800	0.009000	0.011400	0.003700
0.018400	-0.011600	-0.004800	0.026200	0.026800	-0.015400
-0.016000	-0.009200	-0.016100	0.031200	0.031200	-0.004400
0.002800	-0.004100	-0.007800	0.019200	0.019500	0.012000
-0.003500	-0.007200	0.008200	0.018600	0.025600	0.000600
0.009000	0.024400	0.028800	0.002400	0.009400	0.016200
0.026200	0.030600	0.018600	0.000600	0.007600	0.001800
0.031200	0.019200	0.018600	-0.004300	0.007000	0.000600
0.014900	0.014300	-0.001900	0.004600	0.011300	-0.004300
-0.002200	-0.018400	-0.020200	0.027800	0.027800	-0.016500
-0.014000	-0.015800	-0.016400	0.023400	0.023400	0.004400
-0.007700	-0.008300	-0.004000	0.015300	0.015300	0.008100
-0.006500	-0.002200	0.014300	0.013500	0.013500	0.001800
0.004600	0.021100	0.016700	0.006700	0.006700	0.006800
0.027800	0.023400	0.015300	-0.004800	-0.004800	0.006700
0.018600	0.010500	0.008700	0.000000	0.000000	-0.004800
