up_down_5	up_down_highest_in_3days
0.014500	0.009800
0.021200	0.006700
0.021100	0.004900
0.007300	0.007400
0.006700	-0.008500
-0.003600	-0.001200
-0.002300	-0.004900
-0.014600	-0.003700
-0.014800	0.005000
-0.010500	0.002600
-0.003700	0.001900
0.001300	0.005600
0.002600	0.001200
0.001900	-0.006200
-0.000600	-0.010400
-0.024300	0.008900
-0.016600	-0.001300
-0.011700	-0.008800
-0.001200	0.002600
-0.016500	0.012800
-0.009400	0.010200
0.002600	0.007000
0.012800	0.003200
0.010200	-0.000600
0.006400	-0.000600
0.002000	-0.002500
-0.003700	-0.003200
-0.008800	0.002500
-0.005700	-0.014300
-0.027300	0.018200
-0.015700	0.012300
-0.014300	0.008400
0.018200	-0.021100
-0.008800	0.008400
-0.013400	0.024000
-0.022500	0.024700
0.008400	0.014900
0.024000	-0.004300
0.013900	0.006500
0.010600	-0.005000
-0.015800	0.009100
-0.010200	0.016900
-0.005000	0.011600
0.009100	0.009000
0.016900	0.006500
0.011600	0.005200
0.002000	0.012200
0.006500	0.005100
0.005200	-0.000600
0.010300	0.001300
-0.007000	0.011600
-0.000600	0.000100
-0.010100	0.011500
0.011600	0.001900
-0.003100	0.005100
0.006400	0.007700
0.001900	0.008300
0.002600	0.030900
0.007700	0.032000
0.008300	0.028700
0.030900	0.018400
0.032000	0.014100
0.028700	0.009800
0.018400	0.000000
