up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.056800	0.057500	0.046300	0.016900	0.040500	0.014200
0.054800	0.043600	0.037900	0.019600	0.049100	-0.002700
0.046700	0.041000	0.014600	0.025700	0.058400	0.003100
0.038600	0.012200	-0.002000	0.028100	0.060800	-0.002400
0.031100	0.016900	0.019600	0.009200	0.041900	0.018900
0.013500	0.016200	0.013100	0.027000	0.045300	-0.003400
0.012500	0.009400	0.011800	0.036600	0.052300	-0.003700
0.025700	0.028100	0.009200	0.032700	0.036000	0.016300
0.020800	0.001900	0.005300	0.040000	0.043300	-0.007300
-0.003800	-0.000400	0.003300	0.045700	0.049000	-0.005700
0.027000	0.030700	0.014400	0.018300	0.021600	0.027400
0.036600	0.020300	0.027600	0.015700	0.015700	0.005900
0.032700	0.040000	0.045700	0.003300	0.003300	0.012400
0.036800	0.042500	0.015100	0.006500	0.006500	-0.003200
0.039900	0.012500	0.006600	0.009100	0.016400	-0.002600
0.013800	0.007900	-0.004500	0.007800	0.022100	0.001300
0.015700	0.003300	0.006500	-0.006700	0.014300	0.007800
-0.008300	-0.005100	-0.002500	0.004900	0.025900	-0.011600
-0.020400	-0.017800	-0.019100	0.020300	0.041200	-0.015300
-0.036000	-0.037300	-0.045100	0.052400	0.059400	-0.018200
0.001100	-0.006700	0.004900	0.021000	0.021000	0.038400
-0.013200	-0.001600	0.013700	0.027500	0.027500	-0.006500
-0.008800	0.006500	0.024700	0.034700	0.034700	-0.007200
0.020300	0.038500	0.000100	0.020900	0.020900	0.013800
0.052400	0.014000	0.020500	0.007000	0.007000	0.013900
0.021000	0.027500	0.034700	-0.011100	-0.011100	0.007000
0.008400	0.015600	0.001800	0.008000	0.008000	-0.019100
0.004900	-0.008900	-0.022800	0.018700	0.018700	-0.010700
0.009800	-0.004100	-0.011100	-0.002300	-0.002300	0.018700
-0.034000	-0.041000	-0.021900	0.027600	0.027600	-0.029900
-0.024800	-0.005700	0.005000	0.011400	0.011400	0.016200
0.005700	0.016400	-0.002300	-0.017700	-0.017700	0.011400
-0.001300	-0.020000	0.009900	-0.049500	-0.049500	-0.017700
-0.069500	-0.039600	-0.055800	-0.001700	-0.001700	-0.049500
-0.041300	-0.057500	-0.068900	-0.013700	-0.012100	-0.001700
-0.078600	-0.090000	-0.072300	0.009000	0.027300	-0.021100
-0.082600	-0.064900	-0.015400	0.001600	0.019900	0.007400
-0.069800	-0.020300	-0.018600	0.006500	0.024800	-0.004900
-0.030500	-0.028800	-0.007700	0.016700	0.035000	-0.010200
-0.022400	-0.001300	-0.008700	0.010300	0.028600	0.006400
0.009000	0.001600	0.006500	0.018300	0.018300	0.010300
-0.007900	-0.003000	0.007200	0.027800	0.027800	-0.009500
-0.006900	0.003300	-0.003100	0.031700	0.031700	-0.003900
-0.009800	-0.016200	-0.026500	0.044800	0.051300	-0.013100
0.000700	-0.009600	-0.000100	0.027900	0.034400	0.016900
0.018300	0.027800	0.031700	-0.002900	0.006500	0.027900
0.015800	0.019700	0.032800	0.009100	0.018500	-0.012000
0.028800	0.041900	0.025000	-0.006300	0.009400	0.009100
0.033300	0.016400	-0.011500	0.018000	0.018000	-0.008600
0.002100	-0.025800	-0.013800	0.032300	0.032300	-0.014300
-0.025400	-0.013400	-0.022500	0.031900	0.031900	0.000400
0.002800	-0.006300	0.002300	0.015700	0.015700	0.016200
-0.009100	-0.000500	0.013800	0.018500	0.018500	-0.002800
0.018000	0.032300	0.031900	-0.002400	-0.002400	0.018500
0.029900	0.029500	0.013300	-0.015800	-0.003700	-0.002400
0.013700	-0.002500	0.000300	-0.004900	0.012100	-0.015800
-0.007400	-0.004600	-0.023100	0.012500	0.017000	-0.004900
-0.020700	-0.039200	-0.036800	0.033100	0.033100	-0.016100
-0.034900	-0.032500	-0.016700	0.028800	0.028800	0.004300
-0.031100	-0.015300	-0.010400	0.027400	0.027400	0.001400
-0.008600	-0.003700	0.012400	0.020700	0.020700	0.006700
0.012500	0.028600	0.024300	0.004500	0.004500	0.016200
0.033100	0.028800	0.027400	-0.006900	-0.006900	0.004500
0.021900	0.020500	0.013800	0.000000	0.000000	-0.006900
