up_down_5	up_down_highest_in_3days
0.019900	0.010200
0.025000	0.009300
0.024900	0.004200
0.010200	0.004200
0.009300	-0.008300
-0.009200	0.005900
-0.008300	0.005000
-0.008300	0.000800
0.005900	0.005900
0.001600	0.017700
0.000800	0.020100
0.005900	0.029100
0.017700	0.020700
0.020100	0.014900
0.029100	-0.006500
0.014200	-0.000800
0.007600	0.000000
-0.009800	0.020700
-0.000800	0.021400
-0.001600	0.023000
0.020700	0.008100
0.021400	0.022500
0.018200	0.028100
0.008100	0.018400
0.022500	0.000800
0.028100	0.004100
0.005800	0.016700
-0.011800	0.017500
0.004100	0.021900
0.010400	0.028200
0.017500	0.021100
0.021900	-0.010000
0.018200	-0.038700
-0.027600	-0.000800
-0.049500	-0.012800
-0.059700	0.007400
-0.013600	-0.010600
-0.023400	-0.002300
-0.016400	0.010900
-0.025500	0.012600
-0.002300	0.000000
0.010900	-0.006400
0.006000	0.028500
-0.023300	0.045200
-0.006400	0.035000
0.028500	0.006700
0.035500	0.016400
0.035000	-0.001600
0.005100	0.007500
0.000300	0.026800
-0.006300	0.027400
0.007500	0.015200
0.026800	0.010400
0.027400	-0.004700
0.010500	0.000000
0.005700	-0.004000
-0.008700	-0.003700
-0.022300	0.027400
-0.008500	0.016800
-0.003700	0.026200
0.027400	0.015700
0.016800	0.012500
0.026200	0.002300
0.015700	0.000000
