up_down_5	up_down_highest_in_3days
0.005300	0.014700
0.004000	0.013400
0.018700	0.001300
0.014700	0.000900
0.013400	0.009400
0.001300	0.017000
-0.002100	0.020000
0.009400	0.007600
0.017000	-0.001600
0.012900	0.005500
-0.000800	0.010600
-0.001600	0.023900
0.000000	0.029400
0.010600	0.021300
0.023900	0.002000
0.029000	0.003200
0.021300	0.005700
0.002000	0.009400
0.003200	0.012700
0.005700	0.008600
0.009400	0.004100
0.012700	0.017400
0.005000	0.021000
0.002100	0.019400
0.017400	-0.000400
0.020600	0.005100
0.004300	0.019800
-0.016300	0.021000
0.005100	0.007900
0.019800	0.007900
0.018600	0.010300
0.007900	-0.012200
-0.004300	-0.032600
-0.034500	-0.004100
-0.048900	-0.006500
-0.049900	0.006700
-0.010600	-0.014500
-0.021000	0.004500
-0.020900	0.022600
-0.034900	0.029900
0.004500	0.005000
0.022600	-0.006900
0.021100	0.031300
-0.019400	0.046900
-0.006900	0.036600
0.031300	0.007200
0.035500	0.018600
0.036600	0.001800
0.002300	0.018400
0.006000	0.036900
0.001800	0.027600
0.018400	0.015900
0.036900	0.005100
0.027600	-0.009400
0.006500	-0.003200
-0.007500	-0.001500
-0.016200	0.002100
-0.027200	0.022500
-0.001500	-0.003600
-0.005100	0.014800
0.018900	0.011200
-0.004000	0.011600
0.014800	-0.004400
0.006800	0.000000
