up_down_5	up_down_highest_in_3days
0.032800	0.006200
0.045300	0.007300
0.028500	0.018800
0.006200	0.009600
0.007300	0.010800
0.018800	0.007200
0.009600	0.006000
0.010800	0.001400
-0.007100	0.015700
0.001400	0.011900
0.001400	0.006500
0.012100	0.010100
0.011900	0.000600
0.006500	-0.001700
0.004800	0.006600
-0.006500	0.008400
-0.001700	0.003000
0.006600	0.012500
0.006000	0.027100
-0.004100	0.031800
0.012500	0.023200
0.027100	0.025200
0.027200	0.038200
0.023200	0.022600
0.025200	0.008400
0.038200	-0.007100
0.014200	0.001300
-0.013500	0.014800
-0.007100	0.023600
-0.004900	0.031400
0.013700	0.026300
0.023600	0.001600
0.031400	-0.027700
-0.007600	0.006200
-0.026100	-0.011600
-0.046800	0.007500
-0.005400	-0.006800
-0.018400	-0.015800
-0.026300	0.011200
-0.036200	0.013600
-0.015800	-0.012200
-0.001000	0.002400
-0.024000	0.053100
-0.035800	0.051300
0.002400	0.025300
0.053100	-0.007900
0.035200	0.008200
0.017400	-0.000600
-0.008500	-0.001600
-0.006900	0.012900
-0.016300	0.021100
-0.001600	0.011000
0.008800	0.015100
0.021100	0.004000
0.011000	-0.001100
0.014000	-0.002800
0.000000	0.006400
-0.016700	0.039100
-0.002800	0.039200
0.006400	0.041800
0.039100	0.021800
0.039200	0.008900
0.041800	-0.008200
0.013600	0.000000
