up_down_5	up_down_highest_in_3days
0.028800	0.011100
0.024800	0.005900
0.022400	0.001500
0.011100	-0.002900
0.003000	0.004400
-0.003600	0.017600
-0.004400	0.016900
0.004400	0.025600
0.017600	0.018900
0.016200	0.031700
0.025600	0.024800
0.018900	0.030300
0.031700	0.018200
0.024800	0.009800
0.030300	-0.001300
0.011300	0.008400
0.008500	0.007600
-0.001300	0.029600
0.008400	0.026800
0.007600	0.022000
0.029600	-0.001300
0.025500	0.021600
0.009900	0.035000
-0.001900	0.024800
0.021600	0.002600
0.035000	0.009000
0.011700	0.022100
-0.014500	0.036600
0.009000	0.025300
0.019500	0.027900
0.036600	0.014800
0.025300	-0.011400
0.016500	-0.039200
-0.037100	0.001300
-0.050600	-0.006400
-0.058600	0.013000
-0.005100	-0.008100
-0.014500	0.001600
-0.013400	0.019900
-0.020200	0.013700
0.001600	-0.004100
0.015800	0.008400
0.008200	0.038800
-0.017100	0.050400
0.008400	0.034500
0.038800	0.008100
0.038600	0.019900
0.034500	0.002600
0.008100	0.004000
0.012100	0.021500
-0.005900	0.035000
0.004000	0.022500
0.021500	0.012800
0.035000	-0.003200
0.019300	-0.001300
0.008300	-0.007600
-0.012100	-0.010500
-0.033900	0.020300
-0.018100	0.005800
-0.010500	0.014200
0.020300	0.008400
0.005800	0.008400
0.014200	-0.001300
0.007100	0.000000
