up_down_5	up_down_highest_in_3days
0.028700	0.010400
0.017400	0.014100
0.020200	0.003700
0.010400	0.002900
0.012600	0.019000
0.003700	0.017500
0.002900	0.014600
0.019000	0.006500
0.017500	0.014400
0.011700	0.027200
0.006500	0.017800
0.014400	0.012000
0.027200	0.003500
0.017100	0.004200
0.012000	0.001400
0.003500	-0.004200
0.000000	-0.009100
-0.012600	0.017000
-0.014000	0.017000
-0.009100	0.016300
0.017000	0.002800
0.017000	0.016700
0.008600	0.026500
0.002800	0.016000
0.016700	0.002100
0.026500	-0.008800
0.005000	0.002900
-0.016500	0.020900
-0.008800	0.030900
0.002900	0.030200
0.020900	0.019800
0.030900	-0.007400
0.022800	-0.035100
-0.022700	-0.002100
-0.044600	-0.007600
-0.050500	0.005700
-0.009700	-0.004200
-0.011800	0.001500
-0.007700	0.011400
-0.007000	0.005000
0.001500	0.000700
0.011400	-0.002800
0.002200	0.024300
-0.014200	0.036400
-0.004100	0.029900
0.024300	0.004300
0.028100	0.012600
0.029900	-0.002100
0.002200	-0.000600
-0.000600	0.010500
-0.012500	0.021600
-0.000600	0.011800
0.008400	0.013900
0.021600	-0.001400
0.009700	0.000700
0.012500	-0.000700
-0.002100	-0.001800
-0.018500	0.024300
-0.011500	0.022100
-0.001800	0.019900
0.024300	0.017700
0.022100	0.012200
0.019900	0.005400
0.017700	0.000000
