up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.042100	0.047000	0.028800	0.012200	0.012200	0.023300
0.053000	0.034800	0.036200	0.006200	0.006200	0.006000
0.029500	0.030900	0.024000	0.011500	0.011500	-0.005300
0.024900	0.018000	-0.005300	0.017500	0.017500	-0.006000
0.028800	0.005500	-0.000500	0.006700	0.006700	0.010800
0.012200	0.006200	0.011500	-0.007900	-0.007900	0.006700
-0.005700	-0.000400	0.005600	0.004000	0.004000	-0.011900
0.003600	0.009600	-0.001200	-0.011300	-0.011300	0.004000
-0.006400	-0.017200	-0.023900	0.004700	0.004700	-0.016000
-0.012500	-0.019200	-0.007300	-0.002000	-0.002000	0.004700
-0.021200	-0.009300	-0.013300	-0.002000	0.025100	-0.002000
-0.011300	-0.015300	0.000700	-0.006400	0.031100	-0.002000
-0.026800	-0.010800	-0.015500	0.009900	0.045900	-0.011500
-0.030000	-0.034700	-0.032700	0.029100	0.074300	-0.019200
-0.026300	-0.024300	-0.022300	0.020700	0.065900	0.008400
-0.021500	-0.019500	-0.008000	0.046600	0.075400	0.002800
-0.006400	0.005100	0.024300	0.037500	0.062300	0.013100
0.009900	0.029100	0.020700	0.036000	0.057500	0.004800
0.018300	0.009900	0.007100	0.056000	0.068300	-0.010800
0.020200	0.017400	0.004300	0.045700	0.058000	0.010300
0.046600	0.033500	0.028700	0.028800	0.028800	0.029200
0.037500	0.032700	0.043500	0.024800	0.025200	0.004000
0.036000	0.046800	0.036500	0.021500	0.021900	0.003300
0.056000	0.045700	0.016500	0.012300	0.012700	0.009200
0.045700	0.016500	0.012500	0.012300	0.012700	0.000000
0.028800	0.024800	0.021500	-0.011300	0.000400	0.012300
0.012600	0.009300	0.000100	0.012600	0.012600	-0.012200
-0.005600	-0.014800	-0.014800	0.027500	0.027500	-0.014900
-0.000300	-0.000300	-0.012600	0.013000	0.013000	0.014500
-0.006800	-0.019100	-0.006900	0.019500	0.019500	-0.006500
-0.011300	0.000900	0.015800	0.011700	0.011700	0.007800
0.012600	0.027500	0.013000	-0.007700	-0.007700	0.011700
0.019800	0.005300	0.011800	-0.018700	-0.018700	-0.007700
-0.013400	-0.006900	-0.014700	-0.003900	-0.003900	-0.018700
-0.010800	-0.018600	-0.030300	-0.004400	-0.004400	-0.003900
-0.033100	-0.044800	-0.037100	0.010100	0.010100	-0.014500
-0.034700	-0.027000	-0.008300	-0.028500	-0.020800	0.010100
-0.055500	-0.036800	-0.032900	-0.009600	0.007700	-0.028500
-0.046400	-0.042500	-0.028000	-0.004800	0.017300	-0.009600
-0.047300	-0.032800	-0.042900	0.005600	0.022100	-0.004800
-0.043900	-0.054000	-0.025500	0.033200	0.033200	-0.011100
-0.059600	-0.031100	-0.021500	0.038800	0.038800	-0.005600
-0.026900	-0.017300	-0.012500	0.034600	0.034600	0.004200
-0.008200	-0.003400	0.007700	0.025500	0.025500	0.009100
0.005600	0.016700	0.022300	0.016500	0.016500	0.009000
0.033200	0.038800	0.034600	-0.004600	-0.004600	0.016500
0.025200	0.021000	0.011900	0.009000	0.009000	-0.013600
0.023100	0.014000	0.005000	0.006900	0.006900	0.002100
0.007800	-0.001200	-0.017700	0.013100	0.013100	-0.006200
0.002300	-0.014200	-0.000600	0.009600	0.009600	0.003500
-0.004600	0.009000	0.006900	-0.002000	-0.000300	0.009600
0.003500	0.001400	0.007600	0.003500	0.024300	-0.005500
-0.003400	0.002800	-0.000700	0.008300	0.034500	-0.004800
0.011100	0.007600	-0.002000	-0.002700	0.026200	0.008300
0.004900	-0.004700	0.000800	-0.004800	0.028900	-0.002700
-0.009500	-0.004000	0.000800	0.009200	0.033700	-0.004800
-0.010200	-0.005400	-0.013700	0.034500	0.039900	-0.006200
-0.012300	-0.020600	-0.017900	0.046800	0.046800	-0.006900
-0.021300	-0.018600	-0.013800	0.047500	0.047500	-0.000700
-0.018600	-0.013800	-0.007600	0.047500	0.047500	0.000000
0.009200	0.015400	0.022300	0.024500	0.024500	0.023000
0.034500	0.041400	0.042100	0.005400	0.005400	0.019100
0.046800	0.047500	0.047500	0.000000	0.000000	0.005400
