always	highest	bid	sell
0.018014	0.024671	0.007800	0.015000
0.024020	0.030716	0.007800	0.024600
0.049260	0.049785	0.007800	0.036600
0.050834	0.049785	0.007800	0.036600
0.044983	0.043939	0.014900	0.036600
0.011539	0.017858	0.024600	0.036600
0.015889	0.015597	0.024600	0.036600
0.030010	0.029714	0.024600	0.036600
0.040207	0.039908	0.024600	0.036600
0.028973	0.028677	0.024600	0.036600
0.033809	0.033512	0.024600	0.036600
0.039598	0.039300	0.024600	0.036600
0.043216	0.042916	0.036500	0.023400
0.031437	0.037879	0.018200	0.023400
0.049366	0.056976	0.018200	0.023400
0.053593	0.056976	0.018200	0.023400
0.045902	0.056976	0.018200	0.023400
0.036217	0.052450	0.016600	0.023400
0.029472	0.039858	0.010100	0.023400
0.020807	0.041314	0.010100	0.023400
0.055679	0.065255	0.022000	0.023400
0.054729	0.065255	0.022000	0.023400
0.040989	0.059323	0.023300	0.018800
0.038204	0.049458	0.018800	0.016000
0.054803	0.064372	0.015900	0.030600
0.035018	0.051971	0.009900	0.030600
0.019700	0.051971	0.009900	0.030600
0.033053	0.051098	0.009900	0.030600
0.055998	0.069072	0.009900	0.030600
0.045620	0.058565	0.010200	0.030600
0.012868	0.011257	0.028100	0.027500
0.033125	0.031482	0.028100	0.027500
0.017718	0.039158	0.028100	0.027500
-0.015403	0.030785	0.003600	0.027300
-0.021076	0.025014	0.003600	0.027300
-0.067961	0.000000	-0.064400	-0.064400
-0.048854	0.014960	0.003600	0.027300
-0.036497	0.013874	-0.064400	-0.064400
-0.058244	0.013874	-0.064400	-0.064400
-0.058707	0.016244	-0.027300	-0.063900
-0.034387	0.031481	-0.064400	-0.011600
-0.028207	0.031481	-0.064400	-0.011600
-0.056789	0.031481	-0.064400	-0.011600
-0.060144	0.031481	-0.064400	-0.011600
-0.003764	0.031481	-0.064400	-0.011600
0.063659	0.081513	0.013800	0.015100
0.056107	0.081513	0.013800	0.015100
0.059419	0.077201	0.013800	0.031900
0.059631	0.079360	0.013800	0.031900
0.067608	0.098026	0.013800	0.031900
0.045439	0.065734	0.013800	0.031900
0.054535	0.065734	0.013800	0.031900
0.061450	0.066701	0.042100	0.036600
0.077640	0.082971	0.042100	0.036600
0.091815	0.097216	0.042100	0.036600
0.038063	0.043198	0.042100	0.036600
0.027890	0.032975	0.042100	0.036600
0.014743	0.019762	0.042100	0.036600
0.014743	0.026426	0.042100	0.036600
0.015251	0.025092	0.042100	0.036600
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
