up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.047900	0.048700	0.027600	0.025500	0.025500	0.016500
0.054900	0.033800	0.031400	0.019300	0.019300	0.006200
0.023800	0.021400	0.012700	0.029300	0.033300	-0.010000
0.036200	0.027500	0.011000	0.014500	0.026800	0.014800
0.042000	0.025500	0.019300	-0.009700	0.013000	0.014500
0.010400	0.004200	0.014200	0.010000	0.029600	-0.015100
0.009600	0.019600	0.004800	0.004600	0.042000	0.005400
0.018100	0.003300	-0.011200	0.015200	0.045700	-0.001500
-0.001300	-0.015800	-0.000700	0.028100	0.050300	-0.004600
-0.012000	0.003100	-0.002300	0.025000	0.052500	0.003800
0.010000	0.004600	0.006100	0.019600	0.072400	0.006900
0.004600	0.006100	0.010700	0.037400	0.084400	0.000000
0.015200	0.019800	0.016000	0.030500	0.079500	0.009100
0.028100	0.024300	0.017400	0.022200	0.085100	0.008300
0.025000	0.018100	0.018100	0.027500	0.094700	0.000700
0.019600	0.019600	0.010500	0.052800	0.095900	0.001500
0.037400	0.028300	0.020000	0.047000	0.078100	0.017800
0.030500	0.022200	0.021500	0.049000	0.075900	0.002200
0.014200	0.013500	0.012000	0.070900	0.083900	-0.008000
0.027500	0.026000	0.008200	0.067200	0.069900	0.014000
0.052800	0.035000	0.032800	0.043100	0.043100	0.026800
0.047000	0.044800	0.052800	0.031100	0.033800	0.012000
0.049000	0.057000	0.043000	0.026900	0.029600	0.004200
0.070900	0.056900	0.030100	0.013000	0.015700	0.013900
0.067200	0.040400	0.028400	0.002700	0.005400	0.010300
0.043100	0.031100	0.026900	-0.008800	0.002700	0.002700
0.022300	0.018100	0.004200	0.011500	0.011500	-0.008800
0.003100	-0.010800	-0.021100	0.026500	0.026500	-0.015000
-0.008700	-0.019000	-0.021700	0.024400	0.024400	0.002100
-0.032800	-0.035500	-0.026700	0.038200	0.038200	-0.013800
-0.014500	-0.005700	0.009300	0.017200	0.017200	0.021000
0.011500	0.026500	0.024400	-0.008100	-0.008100	0.017200
0.018400	0.016300	0.030100	-0.037400	-0.037400	-0.008100
-0.021100	-0.007300	-0.028300	-0.004200	-0.004200	-0.037400
-0.011500	-0.032500	-0.049700	-0.001100	0.004700	-0.004200
-0.056600	-0.073800	-0.065700	0.023700	0.053600	-0.024100
-0.054200	-0.046100	-0.008700	0.004100	0.034000	0.019600
-0.056100	-0.018700	-0.014500	0.014200	0.044000	-0.010000
-0.033100	-0.028900	-0.004800	0.028600	0.058400	-0.014400
-0.001100	0.023000	0.003400	0.005800	0.030600	0.027800
0.023700	0.004100	0.014100	0.029900	0.029900	0.000700
-0.008000	0.002000	0.016400	0.042000	0.042000	-0.012100
0.014200	0.028600	0.000800	0.029800	0.029800	0.012200
0.023600	-0.004200	-0.004900	0.034800	0.034800	-0.005000
0.005800	0.005100	0.017200	0.024800	0.024800	0.010000
0.029900	0.042000	0.029800	-0.004700	-0.000400	0.024800
0.029600	0.017400	0.022400	0.007700	0.012000	-0.012400
0.025100	0.030100	0.020100	0.000000	0.004300	0.007700
0.026600	0.016600	-0.008200	0.007100	0.007800	-0.003500
0.020100	-0.004700	0.007700	0.004300	0.004300	0.003500
-0.014400	-0.002000	-0.009700	0.014000	0.027600	-0.009700
0.005000	-0.002700	0.000800	0.007000	0.028100	0.007000
-0.004800	-0.001300	-0.004800	0.009100	0.034900	-0.002100
0.007100	0.003600	0.013300	0.000700	0.031900	0.008400
0.004300	0.014000	0.007000	-0.007500	0.031200	0.000700
0.002300	-0.004700	-0.002600	0.025300	0.042900	-0.011700
-0.000500	0.001600	-0.006800	0.028600	0.038700	0.004200
-0.015800	-0.024200	-0.024900	0.050700	0.056100	-0.017400
-0.017100	-0.017800	-0.006100	0.049000	0.049000	0.007100
-0.010800	0.000900	-0.003300	0.042000	0.042000	0.007000
0.025300	0.021100	0.038500	0.017600	0.017600	0.024400
0.028600	0.046000	0.038900	0.010100	0.010100	0.007500
0.050700	0.043600	0.036600	0.005400	0.005400	0.004700
0.049000	0.042000	0.017600	0.000000	0.000000	0.005400
