up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.017900	0.023800	0.021800	0.024600	0.030000	0.010800
0.031100	0.029100	0.012300	0.017300	0.024300	0.007300
0.046400	0.029600	0.035400	0.002600	0.008900	0.017300
0.025800	0.031600	0.020800	0.009200	0.031000	-0.003800
0.034900	0.024100	0.016800	0.005900	0.049800	0.003300
0.010400	0.003100	-0.014200	0.019600	0.065300	-0.013700
0.008900	-0.008400	-0.004600	0.015400	0.061300	0.005800
0.002600	0.006400	0.003100	0.006300	0.050300	0.011000
0.009200	0.005900	0.019600	0.021800	0.052900	0.002800
-0.006300	0.007400	0.001600	0.056100	0.066400	-0.012200
0.018800	0.013000	0.002000	0.046500	0.084000	0.011400
0.015400	0.004400	0.001600	0.045900	0.082000	0.002400
0.006300	0.003500	0.015700	0.044000	0.080100	0.001900
0.021800	0.034000	0.022600	0.031100	0.069600	0.018300
0.056100	0.044700	0.042300	0.010300	0.072400	0.022100
0.046500	0.044100	0.042200	0.037500	0.075200	0.001800
0.045900	0.044000	0.025700	0.036100	0.073400	0.001800
0.043600	0.025300	0.003200	0.036500	0.073800	-0.000400
0.031100	0.009000	0.007200	0.038500	0.077300	0.005800
0.010300	0.008500	0.006700	0.062100	0.076000	0.001300
0.037500	0.035700	0.036100	0.037700	0.047000	0.029000
0.036100	0.036500	0.030700	0.037300	0.046600	0.000400
0.033000	0.027200	0.025900	0.040800	0.050100	-0.003500
0.038500	0.037200	0.008200	0.038800	0.038800	0.011300
0.062100	0.033100	0.032700	0.013900	0.013900	0.024900
0.037700	0.037300	0.040800	0.009300	0.009300	0.004600
0.015600	0.019100	0.007800	0.031000	0.031000	-0.021700
0.026800	0.015500	-0.009400	0.023300	0.023300	0.007700
0.038800	0.013900	0.009300	-0.005700	-0.005700	0.023300
-0.013000	-0.017600	0.004100	0.021200	0.021200	-0.026900
-0.015500	0.006200	-0.001500	0.019100	0.019100	0.002100
0.025300	0.017600	-0.005700	-0.019600	-0.019600	0.019100
-0.002000	-0.025300	0.001600	-0.053500	-0.053500	-0.019600
-0.078800	-0.051900	-0.054000	-0.006300	-0.006300	-0.053500
-0.058200	-0.060300	-0.079400	-0.003300	-0.003300	-0.006300
-0.080200	-0.099300	-0.079700	0.016600	0.047000	-0.019900
-0.082700	-0.063100	-0.009600	-0.003600	0.030400	0.016600
-0.079400	-0.025900	-0.019600	0.012700	0.058700	-0.016300
-0.039300	-0.033000	-0.013100	0.026100	0.072100	-0.013400
-0.031100	-0.011200	-0.027800	0.024200	0.070200	0.001900
0.013000	-0.003600	0.012700	0.034000	0.046000	0.024200
-0.005900	0.010400	0.023800	0.036300	0.053700	-0.002300
0.008100	0.021500	0.019600	0.050600	0.063800	-0.002300
0.004100	0.002200	-0.022000	0.068000	0.090600	-0.017400
0.023600	-0.000600	0.001700	0.046600	0.069200	0.021400
0.034000	0.036300	0.038600	0.012000	0.034600	0.034600
0.028800	0.031100	0.048500	0.024900	0.042100	-0.007500
0.050600	0.068000	0.046600	0.013200	0.022600	0.019500
0.062800	0.041400	0.006800	0.027800	0.027800	-0.005200
0.028700	-0.005900	0.001600	0.040500	0.040500	-0.012700
0.007400	0.014900	-0.004600	0.027200	0.027200	0.013300
0.024900	0.005400	0.010600	0.017200	0.017200	0.010000
0.013200	0.018400	0.031100	0.009400	0.027200	0.007800
0.027800	0.040500	0.027200	-0.010600	0.017800	0.009400
0.029900	0.016600	0.006600	-0.004300	0.028400	-0.010600
0.011400	0.001400	-0.006400	0.001800	0.033600	-0.005200
-0.003400	-0.011200	-0.020600	0.014400	0.038400	-0.004800
-0.030700	-0.040100	-0.029500	0.057900	0.057900	-0.019500
-0.014900	-0.004300	0.000900	0.032700	0.032700	0.025200
-0.008600	-0.003400	0.001400	0.037000	0.037000	-0.004300
0.001800	0.006600	0.026100	0.031800	0.031800	0.005200
0.014400	0.033900	0.008700	0.024000	0.024000	0.007800
0.057900	0.032700	0.037000	-0.002100	-0.002100	0.024000
0.030600	0.034900	0.029700	0.000000	0.000000	-0.002100
