up_down_5	up_down_highest_in_3days
0.020000	0.030300
0.017900	0.020700
0.037600	0.000900
0.027700	0.003500
0.020700	0.000900
-0.010600	0.020000
-0.009300	0.021300
0.000900	0.007600
0.020000	0.001000
0.012600	0.011700
0.004300	0.018400
0.001000	0.028900
0.011700	0.026900
0.018400	0.014800
0.028900	-0.000800
0.022100	0.004000
0.009600	0.004400
-0.000800	0.016500
0.002700	0.019200
0.003200	0.019100
0.016500	0.002400
0.019200	0.022000
0.014100	0.027000
0.002400	0.021000
0.022000	-0.002900
0.024100	0.001900
0.005200	0.014800
-0.015700	0.014700
0.001900	-0.002600
-0.001200	0.013400
-0.004500	0.016600
-0.002600	-0.019600
-0.006200	-0.035700
-0.038700	-0.000900
-0.056200	-0.000400
-0.047600	0.010600
-0.001300	-0.003200
-0.003600	0.006800
-0.003500	0.017700
-0.012100	0.015700
0.006800	-0.005700
0.012000	-0.003600
0.006400	0.017700
-0.026100	0.034500
-0.009200	0.030400
0.017700	0.007100
0.024400	0.017200
0.030400	0.008400
0.006600	0.020100
0.008700	0.034800
0.008400	0.019300
0.020100	0.008100
0.034800	0.001400
0.019300	-0.007300
-0.001200	0.002000
-0.013500	0.015200
-0.007300	0.007600
-0.013100	0.030600
0.015200	0.014100
0.002200	0.032300
0.030600	0.019000
0.014100	0.012800
0.032300	-0.000100
0.018900	0.000000
