up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.027800	0.020200	0.014500	0.014700	0.014700	0.011300
0.028200	0.022500	0.021200	0.006700	0.006700	0.008000
0.024300	0.023000	0.021100	0.004900	0.004900	0.001800
0.020500	0.018600	0.007300	0.007400	0.007400	-0.002500
0.026000	0.014700	0.006700	-0.008500	-0.008500	0.007400
0.006200	-0.001800	-0.003600	-0.001200	-0.001200	-0.008500
-0.003000	-0.004800	-0.002300	-0.004900	-0.004900	-0.001200
-0.009700	-0.007200	-0.014600	-0.003000	-0.001800	-0.004900
-0.015900	-0.023300	-0.014800	0.006900	0.006900	-0.008700
-0.020200	-0.011700	-0.010500	0.003800	0.003800	0.003100
-0.009800	-0.008600	-0.003700	0.001900	0.001900	0.001900
-0.012300	-0.007400	0.001300	0.005600	0.005600	-0.003700
-0.003000	0.005700	0.002600	0.001200	0.001200	0.004400
0.006900	0.003800	0.001900	-0.006200	-0.006200	0.001200
-0.002400	-0.004300	-0.000600	-0.010400	-0.010400	-0.006200
-0.023600	-0.019900	-0.024300	0.008900	0.008900	-0.019300
-0.011000	-0.015400	-0.016600	-0.001300	-0.000500	0.008900
-0.016700	-0.017900	-0.011700	-0.002400	0.000800	-0.001300
-0.026700	-0.020500	-0.001200	0.009600	0.009600	-0.008800
-0.026900	-0.007600	-0.016500	0.016000	0.016000	-0.006400
-0.001800	-0.010700	-0.009400	0.010200	0.010200	0.005800
-0.007500	-0.006200	0.002600	0.007000	0.007000	0.003200
-0.002400	0.006400	0.012800	0.003200	0.003200	0.003800
0.009600	0.016000	0.010200	-0.000600	-0.000600	0.003200
0.015400	0.009600	0.006400	-0.000600	-0.000600	-0.000600
0.009000	0.005800	0.002000	-0.002500	-0.002500	-0.000600
0.003300	-0.000500	-0.003700	-0.003200	-0.003200	-0.002500
-0.006200	-0.009400	-0.008800	0.002500	0.002500	-0.005700
-0.006900	-0.006300	-0.005700	-0.005900	-0.003700	0.002500
-0.030400	-0.029800	-0.027300	0.018200	0.020400	-0.024100
-0.023900	-0.021400	-0.015700	0.012300	0.014500	0.005900
-0.017500	-0.011800	-0.014300	0.008400	0.010600	0.003900
-0.003400	-0.005900	0.018200	0.002200	0.002200	0.008400
-0.027000	-0.002900	-0.008800	0.023300	0.023300	-0.021100
-0.003600	-0.009500	-0.013400	0.024000	0.024000	-0.000700
-0.010200	-0.014100	-0.022500	0.024700	0.027000	-0.000700
-0.004300	-0.012700	0.008400	0.014900	0.017200	0.009800
0.002200	0.023300	0.024000	-0.004300	0.002400	0.014900
0.012500	0.013200	0.013900	0.006500	0.018300	-0.010800
0.019700	0.020400	0.010600	0.000200	0.011800	0.006500
0.008900	-0.000900	-0.015800	0.018100	0.023300	-0.011500
-0.006100	-0.021000	-0.010200	0.023300	0.028500	-0.005200
-0.009300	0.001500	-0.005000	0.011700	0.016800	0.011700
0.004100	-0.002400	0.009100	0.014200	0.014200	0.002600
0.000200	0.011700	0.016900	0.011600	0.011600	0.002600
0.018100	0.023300	0.011600	0.005200	0.005200	0.006400
0.016300	0.004600	0.002000	0.012200	0.013600	-0.007000
0.011700	0.009100	0.006500	0.005100	0.006500	0.007100
0.014200	0.011600	0.005200	-0.000500	0.002100	0.005100
0.009700	0.003300	0.010300	0.001400	0.011600	-0.001900
-0.006900	0.000100	-0.007000	0.011600	0.041900	-0.010200
0.011600	0.004500	-0.000600	0.002000	0.034700	0.011500
-0.006900	-0.012000	-0.010100	0.013400	0.050400	-0.011400
-0.000500	0.001400	0.011600	0.002600	0.048700	0.011500
-0.001800	0.008400	-0.003100	0.013400	0.051900	-0.003200
0.006500	-0.005000	0.006400	0.035400	0.053800	-0.001900
0.002000	0.013400	0.001900	0.032700	0.046800	0.007000
0.010900	-0.000600	0.002600	0.039500	0.049300	-0.002500
0.002600	0.005800	0.007700	0.046100	0.046100	0.003200
0.013400	0.015300	0.008300	0.038500	0.038500	0.007600
0.035400	0.028400	0.030900	0.018400	0.018400	0.020100
0.032700	0.035200	0.032000	0.014100	0.014100	0.004300
0.039500	0.036300	0.028700	0.009800	0.009800	0.004300
0.046100	0.038500	0.018400	0.000000	0.000000	0.009800
