up_down_5	up_down_highest_in_3days
0.030300	0.033500
0.023200	0.023600
0.041800	-0.006100
0.027400	-0.001000
0.016500	0.002800
-0.021900	0.033100
-0.013800	0.031100
0.002800	0.015500
0.033100	-0.002700
0.020700	0.007700
0.010700	0.012100
-0.002700	0.030000
0.005200	0.032500
0.012100	0.020000
0.030000	-0.013000
0.019500	-0.002000
0.004000	0.005600
-0.017000	0.032000
-0.002000	0.030000
0.005600	0.025400
0.032000	-0.003200
0.026800	0.020300
0.016100	0.026400
-0.005500	0.022600
0.020300	-0.006100
0.020300	0.007000
-0.005600	0.029100
-0.020100	0.021000
0.007000	-0.012000
0.009100	0.008000
-0.008700	0.017700
-0.012000	-0.022300
-0.014300	-0.037800
-0.042400	-0.001900
-0.062000	-0.002000
-0.052200	0.010500
-0.003900	-0.017300
-0.019300	0.014600
-0.014500	0.022300
-0.022800	0.020100
0.014600	-0.002600
0.019700	-0.003200
0.013600	0.030600
-0.021100	0.045200
-0.003200	0.050400
0.030600	0.020600
0.042000	0.023800
0.050400	0.002000
0.020600	0.010700
0.014700	0.037500
0.002000	0.027300
0.010700	0.018500
0.037500	0.000800
0.027300	-0.006900
0.011500	0.000100
-0.006100	0.001300
-0.014700	0.009100
-0.023000	0.024400
0.001300	0.004200
0.003600	0.031400
0.022000	0.029900
0.004200	0.023300
0.031400	0.001600
0.029900	0.000000
