up_down_5	up_down_highest_in_3days
0.020400	0.002100
0.006900	0.012700
0.006400	0.008400
0.001000	0.014000
0.012700	0.009200
0.007500	0.018900
0.014000	0.013500
0.009200	0.008800
0.018900	0.003400
0.009600	0.007300
0.007400	0.019400
0.003400	0.024600
0.006700	0.025200
0.019400	0.019500
0.024600	0.009900
0.022300	0.012800
0.019500	0.003700
0.009900	0.027500
0.012200	0.034300
0.003700	0.030400
0.027500	0.010400
0.034300	0.027000
0.025400	0.047500
0.010400	0.038300
0.027000	0.015500
0.047500	0.001200
0.023400	0.016100
-0.000100	0.016800
0.001200	0.022000
0.000600	0.037500
0.016500	0.022300
0.022000	-0.010600
0.026900	-0.039800
-0.028100	-0.009300
-0.059700	-0.017000
-0.082000	0.015900
-0.026300	-0.008700
-0.025700	0.002000
-0.009100	0.018300
-0.019500	0.012800
0.002000	-0.007300
0.011000	0.000100
0.000400	0.035400
-0.020300	0.043300
0.000100	0.041100
0.035400	0.010900
0.034700	0.019500
0.041100	-0.003100
0.007800	0.005700
0.006600	0.027300
-0.005800	0.027300
0.005700	0.018900
0.027300	0.007100
0.027300	-0.004800
0.014100	-0.003400
-0.001100	-0.001900
-0.010100	-0.000300
-0.025000	0.026100
-0.005200	0.023700
-0.000300	0.028200
0.026100	0.022700
0.023700	0.008700
0.028200	0.001200
0.022700	0.000000
