up_down_5	up_down_highest_in_3days
0.028100	-0.001100
0.040700	-0.006300
0.018000	0.005900
-0.009500	0.002100
-0.006300	-0.002700
0.003200	-0.003700
-0.006500	0.010100
-0.006400	0.015900
-0.017700	0.029900
0.010100	0.008000
0.015900	-0.001500
0.024100	0.004300
0.006500	-0.010100
-0.011600	-0.004200
-0.019800	0.013600
-0.023000	0.015700
-0.004200	0.007000
0.013600	0.013400
0.015700	0.021900
0.003200	0.029900
0.013400	0.031600
0.021900	0.019900
0.029900	0.024500
0.031600	0.010800
0.018400	0.012300
0.024500	0.002000
0.010800	-0.006500
-0.001900	0.007700
-0.004500	0.004100
-0.010100	0.010300
0.003600	0.010800
0.004100	0.002600
0.010300	-0.007600
-0.000900	0.004100
-0.005000	-0.003000
-0.019900	0.009300
0.001100	-0.001000
-0.004000	-0.017000
-0.008700	-0.002000
-0.023200	0.003200
-0.019000	-0.012100
-0.014100	-0.010900
-0.043400	0.036500
-0.041600	0.031500
-0.010900	0.012900
0.036500	-0.013200
0.016100	0.002200
-0.000300	-0.002700
-0.015900	-0.011100
-0.018800	0.007200
-0.021500	0.007700
-0.011100	0.010500
-0.002600	0.020300
0.006200	0.012000
0.010500	-0.002200
0.018100	0.007100
0.007100	0.014100
-0.006000	0.042500
0.007100	0.038900
0.014100	0.034600
0.042500	0.007300
0.038900	0.000000
0.034600	0.000000
