up_down_5	up_down_highest_in_3days
0.008600	0.006700
0.011500	-0.006600
0.004900	-0.000900
-0.008500	0.007700
-0.007500	-0.003800
-0.004700	-0.014300
-0.010400	-0.004800
-0.022900	-0.015600
-0.034700	-0.013500
-0.046100	0.012200
-0.029100	-0.000800
-0.020500	0.015200
-0.002900	0.023300
-0.000800	0.011000
0.015200	0.006000
0.021300	0.008000
0.011000	0.007900
0.006000	0.003900
0.004000	0.012900
0.007900	0.009900
-0.002000	0.015800
0.012900	0.009800
0.009900	0.004900
0.011900	0.008800
0.009800	-0.001000
0.003900	-0.001800
-0.000900	0.007900
-0.002800	0.008800
-0.006700	0.013700
0.007900	0.007800
0.008800	0.000100
0.011800	0.002000
0.003000	0.006900
0.000100	0.002000
-0.003800	0.007800
0.006900	-0.001000
0.001000	0.003900
0.003900	0.007800
-0.005800	0.009700
0.003900	0.001000
0.007800	-0.008600
0.001100	0.009800
-0.013400	0.015600
-0.014400	0.016500
0.009800	0.011400
0.014600	0.012400
0.016500	0.010500
0.011400	-0.004700
0.002000	0.005700
0.002000	0.004800
-0.004700	0.014300
-0.001000	0.021000
0.004800	0.013300
0.014300	-0.007500
0.013500	-0.003700
0.001100	0.001000
-0.011200	0.007700
-0.013200	0.021900
-0.005600	0.019000
0.007700	0.004700
0.021900	-0.000900
0.018100	-0.009400
-0.006500	0.006600
-0.011200	0.006600
-0.009400	0.005700
0.006600	-0.013200
-0.006600	-0.001000
-0.010400	0.009500
-0.014200	0.021800
-0.002000	0.022800
0.009500	0.014200
0.021800	0.001000
0.012500	0.016900
0.009600	0.011200
0.001000	0.005600
0.016900	-0.002800
0.004700	0.003700
0.002800	-0.001900
-0.004700	0.000000
0.001800	-0.010300
-0.012200	-0.006600
-0.016900	-0.001000
-0.017900	-0.003800
-0.013300	0.007600
-0.004800	0.010400
-0.006700	0.020900
0.007600	0.012300
0.010400	0.007600
0.020900	-0.010300
0.002000	-0.001900
-0.004600	-0.001900
-0.016900	0.021800
-0.007600	0.024700
