up_down_5	up_down_highest_in_3days
0.032600	0.021700
0.031400	0.017700
0.035200	0.004600
0.021700	0.006600
0.017700	0.018700
0.003300	0.024800
0.006600	0.016900
0.018700	0.004800
0.024800	0.001700
0.003700	0.024500
0.002000	0.023600
0.001700	0.039600
0.024500	0.030300
0.023600	0.020800
0.039600	0.000300
0.030300	-0.004300
0.016500	-0.003100
-0.010800	0.026500
-0.007400	0.023100
-0.005900	0.025900
0.026500	0.000300
0.023100	0.023700
0.018600	0.031000
-0.000300	0.024300
0.023700	-0.001500
0.029500	0.004500
0.004100	0.023200
-0.017800	0.020800
0.004500	0.020300
0.018500	0.025000
0.017600	0.023500
0.020300	-0.016500
0.008500	-0.039500
-0.032500	-0.002800
-0.058800	-0.007900
-0.057700	0.007500
-0.010700	-0.013000
-0.020900	0.005500
-0.015900	0.020900
-0.026300	0.023800
0.005500	0.005000
0.020900	-0.007900
0.012600	0.035000
-0.020100	0.048900
-0.007900	0.043700
0.035000	0.012000
0.042500	0.018400
0.043700	-0.004800
0.007200	0.012100
0.004500	0.029000
-0.005400	0.027600
0.012100	0.014900
0.029000	0.007100
0.027600	-0.001400
0.012300	0.001200
0.005700	-0.006500
-0.007900	-0.001400
-0.025800	0.028300
-0.007900	0.011600
-0.004700	0.027800
0.028300	0.017900
0.011600	0.015500
0.027800	0.002600
0.017900	0.000000
