up_down_5	up_down_highest_in_3days
0.023500	0.004200
0.024000	0.008900
0.016400	0.006300
0.003700	0.006800
0.008900	0.004200
0.005300	0.005200
0.006800	0.006800
0.004200	0.016500
0.001600	0.020100
0.006800	0.022600
0.016500	0.008700
0.016500	0.013300
0.022600	0.001000
0.008200	0.001500
0.013300	-0.002500
-0.005600	0.004100
-0.001000	-0.004000
-0.006500	0.003300
-0.009000	0.016400
-0.019800	0.023100
0.003300	0.004000
0.016400	0.002500
0.020600	0.013000
0.002000	0.012500
0.002500	0.008000
0.013000	-0.000500
0.012000	-0.001400
-0.002500	0.018200
-0.001900	0.020000
-0.006900	0.025500
0.018200	0.010400
0.020000	-0.000500
0.025000	-0.024800
-0.020500	0.005600
-0.025300	0.002400
-0.045400	0.023000
-0.000100	0.013200
0.002400	0.008100
0.017500	0.013600
0.013200	0.003000
0.008100	-0.002000
0.011600	0.003000
-0.001000	0.019400
-0.007000	0.022400
0.003000	0.014400
0.019400	-0.002300
0.006200	0.013900
0.011600	0.000500
-0.002300	0.005600
0.010500	0.010000
-0.011300	0.031600
0.005600	0.014200
0.010000	0.013200
0.031600	-0.002800
0.009400	0.002000
0.003600	0.006800
-0.002800	0.000200
-0.012000	0.021000
-0.000300	0.028500
0.000200	0.021200
0.021000	0.014400
0.028500	-0.009000
0.012200	-0.003800
0.001600	0.000000
