up_down_5	up_down_highest_in_3days
-0.010000	0.003900
-0.022200	0.015600
-0.012400	0.000500
0.003900	0.007700
0.003400	0.019900
-0.010100	0.018300
0.007700	-0.009500
0.006700	0.003700
0.002400	0.006400
-0.009500	-0.005200
-0.006400	0.019900
-0.005300	0.021500
-0.005200	0.028800
0.019900	0.013800
0.021000	0.014300
0.028800	-0.002600
0.011200	-0.005900
-0.007600	0.013400
-0.025600	0.017600
-0.005900	0.000500
0.011300	0.002600
0.017600	-0.005200
-0.004700	-0.002200
-0.018400	0.014100
-0.028500	0.042800
-0.002200	0.021700
0.014100	0.021200
0.042800	-0.000800
0.020700	0.000200
0.005700	0.014700
-0.000800	-0.002600
-0.002400	-0.006800
0.005300	0.000000
-0.013600	0.004200
-0.011000	0.007400
0.000000	0.003200
0.003200	0.008400
0.007400	0.012500
0.002200	0.013500
0.008400	0.009900
0.012500	0.001600
0.005800	0.009300
0.009900	-0.002600
-0.001000	-0.001000
0.005700	-0.006200
-0.011900	0.002100
-0.007200	-0.005700
-0.011900	-0.006300
-0.009900	0.000100
-0.018800	0.021600
-0.009900	0.018400
0.000100	0.022000
0.021600	0.018600
0.017400	0.019600
0.022000	0.011300
0.018600	-0.000400
0.011500	0.014400
0.010900	0.014300
-0.001900	0.015800
0.014400	0.007600
0.014300	-0.000900
0.009800	0.011600
0.001100	0.031100
-0.000900	0.031400
0.011600	0.043400
0.031100	0.025400
0.031400	0.019500
0.043400	0.001000
0.025400	0.000000
0.019500	0.011000
-0.006200	0.028100
-0.002900	0.023800
0.011000	0.009900
0.028100	-0.000500
0.013000	0.019700
0.003800	0.022000
-0.000500	0.034800
0.019700	0.025400
0.022000	0.018400
0.034800	-0.003200
0.022200	-0.005000
0.007900	0.003700
-0.015500	0.036500
-0.005000	0.029200
0.003700	0.027800
0.036500	-0.000900
0.028300	0.022300
0.019400	0.029800
-0.001700	0.023100
0.022300	-0.003900
0.025900	0.008000
0.004400	0.022800
-0.013000	0.017100
0.008000	0.014400
0.020200	0.017000
0.011500	0.020000
0.014400	-0.015800
0.001200	-0.038900
-0.035600	0.000900
-0.054700	-0.009200
-0.068600	0.020500
-0.008300	-0.002000
-0.011200	0.019700
0.001500	0.043100
-0.002400	0.026500
0.019700	0.006400
0.043100	-0.010000
0.016500	0.035400
-0.022900	0.054700
-0.011500	0.053500
0.035400	0.016600
0.047600	0.023700
0.053500	0.004100
0.014800	0.014600
0.012300	0.037200
0.004100	0.026800
0.014600	0.018100
0.037200	0.005100
0.026800	-0.003000
0.011700	0.003400
0.002100	0.000000
