up_down_5	up_down_highest_in_3days
0.024300	0.006800
0.021600	0.005800
0.017100	0.001800
0.006800	0.000400
0.005800	0.004700
-0.003200	0.010100
-0.000600	0.007900
0.004700	0.007900
0.010100	0.008900
0.007900	0.015900
0.007900	0.012300
0.008900	0.016100
0.015900	0.007300
0.012300	0.005200
0.016100	-0.003500
0.003800	-0.002800
-0.001100	-0.004900
-0.011200	0.015600
-0.010900	0.023300
-0.013000	0.028200
0.015600	0.007300
0.023300	0.016900
0.023000	0.027500
0.007300	0.019500
0.016900	0.005400
0.027500	-0.005300
0.009700	0.004500
-0.012200	0.016800
-0.005300	0.014900
-0.004300	0.023700
0.016800	0.010400
0.014900	-0.006000
0.017700	-0.035200
-0.030800	-0.003100
-0.044300	-0.006200
-0.050900	0.006400
-0.009300	-0.002100
-0.008300	-0.002100
-0.005600	0.007800
-0.007000	0.002800
-0.002100	-0.003500
0.003600	0.000700
-0.000700	0.018900
-0.015500	0.030900
0.000500	0.021700
0.018900	0.003300
0.021900	0.012300
0.021700	0.000700
0.003300	-0.000500
0.000500	0.014100
-0.013900	0.028300
-0.000500	0.014900
0.014100	0.012100
0.028300	0.001000
0.014900	0.000300
0.009000	0.003400
0.001000	-0.002200
-0.016400	0.027800
-0.005700	0.030300
-0.002200	0.029100
0.027800	0.015800
0.030300	0.005700
0.029100	-0.000300
0.015500	0.000000
