up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.030900	0.027200	0.018300	0.017300	0.023300	0.001400
0.029400	0.020500	0.002200	0.015100	0.026000	0.002200
0.032700	0.014400	0.015800	0.002900	0.013800	0.012200
0.012300	0.013700	0.012300	0.011000	0.024300	-0.002100
0.018700	0.017300	0.015100	0.006000	0.039500	0.005000
0.000300	-0.001900	-0.014100	0.023000	0.056500	-0.017000
0.000300	-0.011900	-0.009800	0.025700	0.054300	0.002200
0.001800	0.003900	-0.001100	0.012000	0.041300	0.013700
0.011000	0.006000	0.023000	0.013300	0.036200	0.007100
-0.002500	0.014500	0.012300	0.042000	0.048800	-0.008500
0.022300	0.020100	0.006400	0.034200	0.074800	0.007800
0.025700	0.012000	0.004900	0.028600	0.069200	0.005600
0.011300	0.004200	0.012700	0.030000	0.069900	-0.000700
0.013300	0.021800	0.014000	0.022900	0.064100	0.009100
0.042000	0.034200	0.028600	0.006800	0.068000	0.020200
0.033500	0.027900	0.028600	0.041300	0.068700	-0.000700
0.027900	0.028600	0.019500	0.041300	0.068700	0.000000
0.030000	0.020900	0.000700	0.039900	0.067300	0.001400
0.022900	0.002700	0.003400	0.041200	0.068300	0.002000
0.006800	0.007500	0.007500	0.061200	0.064200	0.004100
0.041300	0.041300	0.039900	0.027400	0.030400	0.033800
0.039300	0.037900	0.035900	0.029400	0.043100	-0.002000
0.032000	0.030000	0.025900	0.035300	0.049000	-0.005900
0.041200	0.037100	0.003300	0.027100	0.037800	0.011200
0.061200	0.027400	0.029400	0.003000	0.013700	0.024100
0.026100	0.028100	0.034000	0.004300	0.015000	-0.001300
0.005100	0.011000	-0.000200	0.038000	0.038000	-0.023000
0.015600	0.004400	-0.019700	0.033400	0.033400	0.004600
0.027100	0.003000	0.004300	0.010700	0.010700	0.022700
-0.019200	-0.017900	0.005100	0.032900	0.032900	-0.022200
-0.010800	0.012200	0.007600	0.025800	0.025800	0.007100
0.038000	0.033400	0.010700	-0.021400	-0.021400	0.025800
0.012000	-0.010700	0.011500	-0.050100	-0.050100	-0.021400
-0.060800	-0.038600	-0.045700	-0.004700	-0.004500	-0.050100
-0.043300	-0.050400	-0.076200	-0.002500	0.000200	-0.004700
-0.067400	-0.093200	-0.071800	0.017200	0.038900	-0.017000
-0.078700	-0.057300	-0.007200	0.002700	0.024400	0.014500
-0.071600	-0.021500	-0.016800	0.017000	0.050200	-0.014300
-0.038100	-0.033400	-0.016400	0.033600	0.066800	-0.016600
-0.028500	-0.011500	-0.026000	0.028700	0.061900	0.004900
0.017200	0.002700	0.017000	0.021700	0.033200	0.028700
-0.000700	0.013600	0.030200	0.025100	0.042700	-0.003400
0.006800	0.023400	0.018500	0.043400	0.059300	-0.006800
0.006900	0.002000	-0.026700	0.059900	0.079000	-0.016500
0.020900	-0.007800	-0.004400	0.041000	0.060100	0.018900
0.021700	0.025100	0.031900	0.011500	0.030600	0.029500
0.017800	0.024600	0.041100	0.024900	0.037900	-0.007300
0.043400	0.059900	0.041000	0.015900	0.019100	0.018800
0.055300	0.036400	0.006900	0.023700	0.023700	-0.004600
0.024500	-0.005000	0.002300	0.035600	0.035600	-0.011900
0.005700	0.013000	-0.005800	0.024900	0.024900	0.010700
0.024900	0.006100	0.010700	0.013000	0.013000	0.011900
0.015900	0.020500	0.032400	0.003200	0.010600	0.009800
0.023700	0.035600	0.024900	-0.013600	0.007400	0.003200
0.022000	0.011300	-0.000600	-0.001900	0.021000	-0.013600
0.008700	-0.003200	-0.013000	0.000700	0.023600	-0.002600
-0.010400	-0.020200	-0.023400	0.011800	0.030800	-0.007200
-0.041400	-0.044600	-0.031000	0.052000	0.052000	-0.021200
-0.015500	-0.001900	0.000700	0.022900	0.022900	0.029100
-0.007200	-0.004600	0.002600	0.028200	0.028200	-0.005300
0.000700	0.007900	0.029100	0.022900	0.022900	0.005300
0.011800	0.033000	0.003900	0.019000	0.019000	0.003900
0.052000	0.022900	0.028200	0.000000	0.000000	0.019000
0.022900	0.028200	0.022900	0.000000	0.000000	0.000000
