up_down_10	up_down_5	up_down_4	up_down_3	highest_1_week	highest_2_week	highest_3_week	highest_4_week	lowest_1_week	chg
0.014600	0.004000	0.008700	0.007700	0.004700	0.004700	0.008700	0.014300	0.006500	0.014300
0.015500	0.013400	0.012400	0.021900	-0.000900	-0.000900	0.009600	0.009600	0.011200	0.004700
0.021300	0.011500	0.021000	0.018100	-0.003700	0.003900	0.010500	0.010500	0.016900	-0.000900
0.003300	0.010700	0.007800	-0.006500	0.006600	0.014200	0.020800	0.020800	0.009500	-0.010300
-0.010000	0.007800	-0.006500	-0.011200	0.006600	0.014200	0.020800	0.020800	0.009500	0.000000
-0.001600	-0.005600	-0.010300	-0.009400	0.005700	0.014300	0.019900	0.019900	0.010400	0.000900
0.008800	-0.004600	-0.003700	0.006600	-0.006600	0.014200	0.014200	0.014200	0.016100	0.005700
-0.005400	-0.016900	-0.006600	-0.006600	0.020800	0.027400	0.027400	0.027400	0.002900	-0.013200
0.001200	-0.009500	-0.009500	-0.010400	0.023700	0.030300	0.030300	0.030300	-0.000900	-0.002900
0.000200	-0.007600	-0.008500	-0.014200	0.021800	0.028400	0.028400	0.028400	0.001000	0.001900
-0.015100	-0.009500	-0.015200	-0.002000	0.023800	0.029400	0.029400	0.029400	-0.008600	-0.001000
-0.011200	-0.006600	0.006600	0.009500	0.020800	0.020800	0.020800	0.020800	-0.003900	0.008600
0.003900	0.020800	0.023700	0.021800	0.006600	0.006600	0.006600	0.006600	0.010300	0.014200
0.003900	0.013400	0.011500	0.012500	0.016900	0.016900	0.016900	0.016900	-0.005700	-0.010300
0.009600	0.017200	0.018200	0.009600	0.011200	0.011200	0.011200	0.011200	-0.004700	0.005700
0.014300	0.023800	0.015200	0.001000	0.005600	0.005600	0.005600	0.005600	0.000900	0.005600
0.014200	0.020800	0.006600	0.016900	-0.002800	-0.002800	-0.002800	-0.001600	0.015000	0.005600
0.020900	0.000100	0.010400	0.004700	0.003700	0.003700	0.003700	0.007700	0.015100	-0.006500
0.027500	0.014100	0.008400	0.002800	-0.001900	-0.001900	-0.001900	0.004000	0.019800	0.003700
0.023700	0.006500	0.000900	-0.004700	0.000000	0.000000	0.000000	0.005900	0.023600	-0.001900
0.024700	0.000900	-0.004700	0.001800	-0.010300	-0.003700	0.001200	0.005900	0.023600	0.000000
0.005800	-0.015000	-0.008500	-0.012200	-0.006600	0.006600	0.013400	0.020900	0.014300	-0.010300
-0.015000	-0.015100	-0.018800	-0.016900	0.000900	0.013200	0.022800	0.042300	0.007700	-0.006600
-0.005700	-0.019800	-0.017900	-0.017900	0.006600	0.014200	0.023800	0.048800	0.006700	-0.001000
-0.017100	-0.023600	-0.023600	-0.013300	0.019900	0.019900	0.029500	0.058100	0.001000	-0.005700
-0.020800	-0.021700	-0.011400	-0.004800	0.018000	0.022900	0.027600	0.056200	0.002900	0.001900
-0.029300	-0.014300	-0.007700	-0.006700	0.020900	0.027700	0.035200	0.059100	-0.008600	-0.002900
-0.014200	0.000900	0.001900	0.007600	0.012300	0.021900	0.041400	0.050500	0.004600	0.008600
-0.013200	0.006600	0.012300	0.010400	0.007600	0.017200	0.042200	0.045800	0.010300	0.004700
-0.003700	0.019900	0.018000	0.020900	-0.010300	0.009600	0.038200	0.038200	0.017900	0.007600
-0.014000	0.007700	0.010600	0.002000	0.015200	0.019900	0.048500	0.048600	0.007600	-0.010300
-0.005600	0.008700	0.000100	-0.004600	0.019000	0.026500	0.050400	0.051400	0.005700	-0.001900
-0.003700	-0.004600	-0.009300	-0.016900	0.026500	0.046000	0.055100	0.064200	0.001000	-0.004700
-0.003700	-0.010300	-0.017900	-0.007600	0.027500	0.052500	0.056100	0.065200	-0.003800	-0.001000
0.005800	-0.014100	-0.003800	-0.001900	0.023700	0.052300	0.052300	0.061400	-0.019000	0.003800
0.022900	0.015200	0.017100	0.021800	0.004700	0.033300	0.033400	0.055900	-0.001000	0.019000
0.027700	0.019000	0.023700	0.024700	0.007500	0.031400	0.032400	0.056600	0.000900	0.001900
0.021900	0.026500	0.027500	0.023700	0.019500	0.028600	0.037700	0.054700	0.003700	0.002800
0.014400	0.024700	0.020900	0.001900	0.027800	0.031400	0.040500	0.068100	0.000900	-0.002800
0.005900	0.020000	0.001000	-0.000900	0.032300	0.032300	0.041400	0.070700	-0.002800	-0.000900
0.019000	0.003800	0.001900	-0.000900	0.029500	0.029600	0.052100	0.086100	-0.005600	0.002800
0.026500	0.007500	0.004700	0.007500	0.023900	0.024900	0.049100	0.080500	-0.014800	0.005600
0.046000	0.019500	0.022300	0.023200	0.009100	0.018200	0.035200	0.073500	-0.004600	0.014800
0.052500	0.027800	0.028700	0.025900	0.003600	0.012700	0.040300	0.079000	0.000900	0.005500
0.052300	0.032300	0.029500	0.023900	-0.001800	0.009100	0.038400	0.089600	0.008100	0.003600
0.029700	0.025900	0.020300	0.005500	0.003700	0.026200	0.060200	0.112200	0.004500	-0.003600
0.029600	0.022100	0.007300	0.001800	0.002800	0.027000	0.058400	0.110400	0.006300	0.001800
0.024100	0.004600	-0.000900	-0.004500	0.013600	0.030600	0.068900	0.113100	0.003600	-0.002700
0.028700	0.000900	-0.002700	0.000900	0.011800	0.039400	0.078100	0.111300	0.005400	0.001800
0.024200	-0.008100	-0.004500	-0.006300	0.017200	0.046500	0.097700	0.116700	-0.008200	-0.005400
0.029600	0.003700	0.001900	0.004600	0.022500	0.056500	0.108500	0.108500	-0.000900	0.008200
0.024900	0.002800	0.005500	0.003700	0.024200	0.055600	0.107600	0.112100	-0.000900	0.000900
0.018200	0.013600	0.011800	0.017200	0.017000	0.055300	0.099500	0.140300	0.007200	0.008100
0.005500	0.004600	0.010000	0.001800	0.034800	0.073500	0.106700	0.147500	-0.000000	-0.007200
0.001900	0.010000	0.001800	0.000900	0.036500	0.087700	0.106700	0.150700	-0.020700	0.000000
0.026200	0.022500	0.021600	0.013500	0.034000	0.086000	0.086000	0.131600	-0.002600	0.020700
0.027000	0.024200	0.016100	0.023300	0.031400	0.083400	0.087900	0.129000	-0.000900	0.002600
0.030600	0.017000	0.024200	0.024200	0.038300	0.082500	0.123300	0.128900	-0.010600	0.000900
0.039400	0.034800	0.034800	0.014100	0.038700	0.071900	0.112700	0.118300	-0.001700	0.010600
