up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	chg
0.050700	0.053000	0.040500	0.001500	0.008200	0.042700
0.052300	0.039800	0.048300	0.002200	0.008900	-0.000700
0.036800	0.045300	0.039000	0.011900	0.012000	-0.003000
0.049800	0.043500	0.000800	0.007400	0.007500	0.004500
0.042000	-0.000700	-0.000000	0.008900	0.017900	-0.001500
0.001500	0.002200	0.005200	0.006700	0.015700	0.002200
0.002200	0.005200	0.000700	0.006700	0.015700	0.000000
0.011900	0.007400	0.008900	0.000100	0.009000	0.006700
0.000800	0.002300	0.000100	0.006700	0.015600	-0.006600
0.008200	0.006000	0.006000	0.009700	0.009700	0.005900
0.002300	0.002300	-0.004400	0.013400	0.026600	-0.003700
0.003800	-0.002900	0.003700	0.011900	0.036700	0.001500
0.000100	0.006700	0.000800	0.008900	0.033700	0.003000
0.004500	-0.001400	0.002300	0.011100	0.042400	-0.002200
0.009700	0.013400	0.011900	-0.004400	0.042700	0.011100
0.009000	0.007500	0.004500	0.017600	0.049900	-0.004400
0.006000	0.003000	0.005200	0.030700	0.051400	-0.001500
0.003000	0.005200	-0.005900	0.030700	0.051400	0.000000
0.004500	-0.006600	-0.002200	0.037900	0.058700	-0.000700
-0.004400	0.000000	0.001500	0.047100	0.061400	0.002200
0.017600	0.019100	0.019100	0.032300	0.059000	0.017600
0.030700	0.030700	0.031400	0.020700	0.069200	0.011600
0.026400	0.027100	0.024900	0.025000	0.073500	-0.004300
0.037900	0.035700	0.018100	0.020800	0.062700	0.010800
0.047100	0.029500	0.017900	0.014300	0.051300	0.011400
0.032300	0.020700	0.025000	0.026700	0.048500	0.002800
0.015100	0.019400	0.008600	0.054100	0.054100	-0.005600
0.011000	0.000200	-0.011200	0.062500	0.062500	-0.008400
0.020800	0.009400	0.006600	0.041900	0.041900	0.020600
0.014300	0.011500	0.017100	0.037000	0.037000	0.004900
0.026700	0.032300	0.040700	0.021800	0.021800	0.015200
0.054100	0.062500	0.041900	-0.004700	-0.004700	0.021800
0.057800	0.037200	0.032300	-0.028800	-0.028800	-0.004700
0.008400	0.003500	-0.011700	-0.001400	-0.001400	-0.028800
0.002100	-0.013100	-0.034900	-0.006800	-0.006800	-0.001400
-0.029000	-0.050800	-0.046100	0.009100	0.009100	-0.015900
-0.041700	-0.037000	-0.008200	-0.002800	-0.002800	0.009100
-0.039800	-0.011000	-0.009600	-0.020200	-0.003500	-0.002800
-0.031200	-0.029800	-0.013900	0.000000	0.016700	-0.020200
-0.035500	-0.019600	-0.028700	0.005700	0.022400	-0.005700
-0.013900	-0.023000	-0.020200	0.016700	0.016700	0.005700
-0.026600	-0.023800	-0.003600	0.020300	0.020300	-0.003600
-0.039500	-0.019300	-0.013600	0.036000	0.036000	-0.015700
-0.021500	-0.015800	-0.021500	0.038200	0.042200	-0.002200
0.002400	-0.003300	0.000300	0.020000	0.026800	0.018200
0.016700	0.020300	0.036000	-0.002600	0.006800	0.020000
0.005600	0.021300	0.023500	0.012100	0.021500	-0.014700
0.033400	0.035600	0.017400	-0.001900	0.009400	0.012100
0.031400	0.013200	-0.006800	0.010800	0.013600	-0.004200
0.001200	-0.018800	-0.004100	0.025600	0.025600	-0.012000
-0.014500	0.000200	-0.011900	0.021300	0.039700	0.004300
0.010200	-0.001900	0.002300	0.011300	0.036500	0.010000
-0.002600	0.001600	0.013600	0.012000	0.044700	-0.000700
0.010800	0.022800	0.018500	0.002800	0.035500	0.009200
0.025600	0.021300	0.011300	0.000000	0.032700	0.002800
0.021300	0.011300	0.012000	0.018400	0.032700	0.000000
0.005000	0.005700	-0.003500	0.031500	0.039000	-0.006300
-0.007600	-0.016800	-0.019600	0.052300	0.052300	-0.013300
-0.005400	-0.008200	-0.008200	0.040900	0.040900	0.011400
-0.006800	-0.006800	-0.000500	0.039500	0.039500	0.001400
0.018400	0.024700	0.038000	0.014300	0.014300	0.025200
0.031500	0.044800	0.033400	0.007500	0.007500	0.006800
0.052300	0.040900	0.039500	0.000000	0.000000	0.007500
