up_down_5	up_down_highest_in_3days
0.035700	0.012300
0.021700	0.019700
0.022200	0.010100
0.012300	0.009400
0.019700	0.016100
0.010100	0.020100
0.009400	0.015400
0.016100	0.014000
0.020100	0.021100
0.010800	0.039900
0.014000	0.027200
0.021100	0.019900
0.039900	0.005700
0.027200	0.003800
0.019900	-0.001300
0.004400	-0.003800
-0.001300	-0.005000
-0.014000	0.028200
-0.013300	0.028800
-0.005000	0.024300
0.028200	0.001400
0.028200	0.017600
0.011800	0.032000
0.001400	0.018100
0.017600	0.002500
0.032000	-0.007800
0.008900	0.001400
-0.017800	0.027300
-0.007800	0.032400
-0.001100	0.034900
0.027300	0.017600
0.032400	-0.012000
0.022900	-0.043000
-0.037400	-0.002500
-0.057500	-0.009300
-0.064500	0.009700
-0.011800	-0.007000
-0.016300	0.007900
-0.009500	0.020100
-0.010700	0.011600
0.007900	-0.001900
0.016900	0.009200
0.009700	0.034000
-0.012800	0.044900
0.009200	0.038000
0.034000	0.011900
0.038700	0.018100
0.038000	-0.000600
0.011300	0.005100
0.005900	0.016700
-0.011600	0.030800
0.005100	0.014700
0.013000	0.018400
0.030800	0.000000
0.014700	-0.000600
0.017800	-0.005400
-0.006000	-0.001500
-0.026600	0.026400
-0.013000	0.017000
-0.001500	0.022900
0.026400	0.015600
0.017000	0.012000
0.022900	-0.002400
0.013200	0.000000
