up_down_5	best_state	chg
0.013500	-0.020000	0.009200
0.038100	0.030000	0.020300
0.034700	0.030000	-0.003400
0.023300	0.030000	-0.002800
0.025400	0.030000	0.002100
0.019000	0.020000	0.002800
-0.012300	-0.030000	-0.011000
-0.017300	-0.030000	-0.008400
-0.016600	-0.030000	-0.002100
-0.019400	-0.020000	-0.000700
-0.012300	0.030000	0.009900
0.008500	0.030000	0.009800
0.017600	0.030000	0.000700
0.027300	0.030000	0.007600
0.026600	0.030000	-0.001400
0.017400	0.030000	0.000700
0.010300	0.030000	0.002700
0.011000	0.020000	0.001400
-0.003400	-0.030000	-0.006800
0.000700	-0.030000	0.002700
-0.002100	-0.020000	-0.002100
-0.001400	0.030000	0.003400
0.002700	0.030000	0.005500
0.011500	0.030000	0.002000
0.026500	0.030000	0.017700
0.026600	0.030000	-0.002000
0.019900	0.030000	-0.003300
0.021800	0.030000	0.007400
0.025100	0.030000	0.005300
0.037200	0.030000	0.029800
0.037900	0.030000	-0.001300
0.050200	0.020000	0.009000
0.039600	-0.030000	-0.003200
0.029800	-0.030000	-0.004500
-0.014100	-0.020000	-0.014100
-0.009500	0.030000	0.003300
-0.015200	0.030000	0.003300
-0.015900	0.030000	-0.003900
-0.008100	0.030000	0.003300
0.020300	0.030000	0.014300
0.027200	0.020000	0.010200
0.021400	-0.030000	-0.002500
0.020900	-0.020000	-0.004400
0.029100	0.030000	0.011500
0.021100	0.030000	0.006300
0.009600	0.030000	-0.001300
0.020300	0.020000	0.008200
0.019700	-0.030000	-0.005000
0.002600	-0.020000	-0.005600
-0.000600	0.030000	0.003100
0.025100	0.030000	0.024400
0.026700	0.020000	0.009800
0.030500	-0.030000	-0.001200
0.036700	-0.030000	0.000600
0.019100	-0.030000	-0.014500
-0.005900	-0.030000	-0.000600
-0.012000	-0.030000	0.003700
-0.016900	-0.020000	-0.006100
-0.007600	0.030000	0.009900
0.006900	0.030000	0.000000
0.009900	0.020000	0.002400
0.004400	-0.030000	-0.001800
-0.002900	-0.030000	-0.013400
-0.019600	-0.020000	-0.006800
-0.014000	0.030000	0.005600
-0.005900	0.030000	0.010500
-0.012700	0.030000	-0.008600
0.010600	0.030000	0.009900
0.037000	0.030000	0.019600
0.036200	0.030000	0.004800
0.043600	0.020000	0.017900
0.045200	-0.030000	-0.007000
0.026400	-0.020000	-0.008900
0.029500	0.030000	0.022700
0.017700	0.030000	-0.007000
0.001600	0.020000	0.001800
-0.005500	-0.030000	-0.014100
0.005800	-0.030000	0.002400
-0.012200	-0.030000	0.004700
-0.008700	-0.030000	-0.003500
-0.009300	-0.030000	0.001200
-0.011800	-0.030000	-0.016600
-0.016000	-0.020000	-0.001800
-0.018900	0.030000	0.001800
0.000900	0.030000	0.016300
0.005000	0.030000	0.005300
0.025700	0.030000	0.004100
0.046300	0.020000	0.018800
0.031300	-0.030000	-0.013200
0.012700	-0.020000	-0.002300
0.016800	0.030000	0.009400
0.016200	0.030000	0.003500
0.010100	0.020000	0.012700
0.019300	-0.030000	-0.004000
0.018700	-0.020000	-0.002900
0.013300	0.030000	0.004000
0.010900	0.030000	0.001100
0.002800	0.020000	0.004600
0.002800	-0.030000	-0.004000
-0.001200	-0.020000	-0.006900
0.014400	0.030000	0.019600
0.029100	0.030000	0.015800
0.043400	0.030000	0.018900
0.050100	0.030000	0.002700
0.070600	0.030000	0.013600
0.053100	0.020000	0.002100
0.024500	-0.030000	-0.012800
-0.000400	-0.030000	-0.006000
-0.010700	-0.020000	-0.007600
-0.012800	0.030000	0.011500
-0.017100	0.030000	-0.002200
0.018600	0.030000	0.022900
0.020900	0.030000	-0.003700
0.042400	0.030000	0.013900
0.046200	0.030000	0.015300
0.048900	0.020000	0.000500
0.007800	-0.030000	-0.018200
0.012000	-0.030000	0.000500
0.003400	-0.030000	0.005300
-0.027700	-0.030000	-0.015800
-0.039900	-0.020000	-0.011700
-0.006600	0.030000	0.015100
-0.006600	0.020000	0.000500
-0.024100	-0.030000	-0.012200
-0.006700	-0.020000	0.001600
0.023300	0.030000	0.018300
-0.005000	0.030000	-0.013200
-0.008200	0.030000	-0.002700
0.010400	0.020000	0.006400
-0.001300	-0.030000	-0.010100
-0.021200	-0.020000	-0.001600
-0.001500	0.030000	0.006500
0.016200	0.030000	0.015000
0.009300	0.030000	-0.000500
0.033700	0.020000	0.014300
0.032700	-0.030000	-0.002600
0.006900	-0.030000	-0.019300
-0.011800	-0.020000	-0.003700
0.005800	0.030000	0.017100
-0.010600	0.030000	-0.002100
-0.005400	0.020000	0.002600
0.008700	-0.030000	-0.005200
-0.003400	-0.030000	-0.015800
-0.028000	-0.020000	-0.007500
-0.004800	0.030000	0.021100
-0.006900	0.030000	0.000500
0.019500	0.020000	0.021200
0.034300	-0.030000	-0.001000
0.027300	-0.020000	-0.014500
0.020900	0.030000	0.014700
0.017800	0.020000	-0.002600
-0.010200	-0.030000	-0.006800
-0.013400	-0.030000	-0.004200
0.001100	-0.020000	0.000000
-0.009400	0.030000	0.004200
-0.007800	0.030000	-0.001000
0.003200	0.030000	0.004200
0.006400	0.030000	-0.001000
0.011600	0.030000	0.005200
0.015700	0.030000	0.008300
0.009000	0.030000	-0.007700
0.014100	0.020000	0.009300
0.012500	-0.030000	-0.002600
0.006300	-0.030000	-0.001000
-0.010300	-0.030000	-0.008300
-0.000500	-0.030000	0.002100
-0.015500	-0.030000	-0.005700
-0.019200	-0.030000	-0.006300
-0.025000	-0.020000	-0.006800
-0.013500	0.030000	0.003200
-0.011900	0.030000	0.003700
0.008500	0.030000	0.014700
0.013800	0.030000	-0.001000
0.028900	0.030000	0.008300
0.037000	0.030000	0.011300
0.025200	0.030000	-0.008100
0.018200	0.030000	0.007700
0.017700	0.030000	-0.001500
0.017600	0.030000	0.008200
0.013900	0.020000	0.007600
0.016000	-0.030000	-0.006000
0.007800	-0.020000	-0.000500
0.014900	0.030000	0.005600
0.013200	0.030000	0.006500
0.024600	0.030000	0.019000
0.036500	0.030000	0.005900
0.055500	0.030000	0.018500
0.050900	0.030000	0.001000
0.044400	0.030000	0.000000
0.018200	0.030000	-0.007200
0.016600	0.030000	0.004300
0.012000	0.030000	0.013900
0.020900	0.020000	0.009900
0.010100	-0.030000	-0.010800
0.022000	-0.020000	0.004700
0.023300	0.030000	0.005600
0.018800	0.030000	0.009400
0.015900	0.030000	0.007000
0.045100	0.020000	0.018400
0.037200	-0.030000	-0.003200
0.024300	-0.030000	-0.007300
0.009900	-0.020000	-0.005000
0.010200	0.030000	0.007300
-0.006800	0.030000	0.001400
0.024200	0.020000	0.027800
0.030600	-0.030000	-0.000900
0.028100	-0.020000	-0.007500
0.027500	0.030000	0.006700
