up_down_5	up_down_highest_in_3days
0.040500	0.000800
0.048300	0.001500
0.039000	0.005200
0.000800	0.000700
-0.000000	0.008900
0.005200	0.006700
0.000700	0.006700
0.008900	-0.000700
0.000100	0.005900
0.006000	0.000800
-0.004400	0.004500
0.003700	0.011900
0.000800	0.008900
0.002300	0.011100
0.011900	-0.004400
0.004500	-0.001500
0.005200	0.001500
-0.005900	0.019100
-0.002200	0.031400
0.001500	0.029200
0.019100	0.018100
0.031400	0.017900
0.024900	0.025000
0.018100	0.014200
0.017900	0.002800
0.025000	0.006600
0.008600	0.017100
-0.011200	0.040700
0.006600	0.041900
0.017100	0.037000
0.040700	0.021800
0.041900	-0.004700
0.032300	-0.028800
-0.011700	-0.001400
-0.034900	-0.006800
-0.046100	0.009100
-0.008200	-0.002800
-0.009600	-0.020200
-0.013900	0.000000
-0.028700	0.005700
-0.020200	-0.003600
-0.003600	0.000300
-0.013600	0.036000
-0.021500	0.038200
0.000300	0.020000
0.036000	-0.002600
0.023500	0.012100
0.017400	-0.004200
-0.006800	0.002300
-0.004100	0.014300
-0.011900	0.018500
0.002300	0.011300
0.013600	0.012000
0.018500	0.002800
0.011300	0.000000
0.012000	-0.006300
-0.003500	-0.000500
-0.019600	0.038000
-0.008200	0.033400
-0.000500	0.039500
0.038000	0.014300
0.033400	0.007500
0.039500	0.000000
