up_down_5	best_state	chg	highest_1_week
-0.016200	0.030000	0.007300	0.067300
0.013200	0.030000	0.016000	0.051300
0.026600	0.030000	0.018200	0.033100
0.031800	0.030000	0.015500	0.053300
0.074600	0.020000	0.017600	0.048000
0.062800	-0.030000	-0.004500	0.056800
0.034700	-0.020000	-0.012100	0.068900
0.024900	0.030000	0.008400	0.060500
0.053300	0.030000	0.043900	0.016600
0.048000	0.030000	0.012300	0.007300
0.056800	0.020000	0.004300	0.003000
0.056800	-0.030000	-0.012100	0.043700
0.036900	-0.030000	-0.011500	0.064200
-0.015000	-0.020000	-0.008000	0.072200
0.007300	0.030000	0.034600	0.037600
-0.001300	0.030000	-0.004300	0.041900
0.043700	0.030000	0.032900	0.009000
0.064200	0.020000	0.009000	-0.012000
0.046800	-0.030000	-0.025400	0.013400
0.025600	-0.030000	0.013400	-0.000700
0.029200	-0.030000	-0.000700	-0.004200
-0.007900	-0.030000	-0.004200	-0.011200
-0.028100	-0.030000	-0.011200	-0.003500
-0.006200	-0.030000	-0.003500	-0.005000
-0.024600	-0.030000	-0.005000	-0.002300
-0.042400	-0.030000	-0.018500	0.020500
-0.026600	-0.030000	0.011600	0.016700
-0.032600	-0.020000	-0.017200	0.033900
-0.019600	0.030000	0.009500	0.024400
-0.002300	0.030000	0.012300	0.012100
0.020500	0.030000	0.004300	0.007800
0.016700	0.020000	0.007800	-0.002800
0.027600	-0.030000	-0.006300	0.003500
0.021600	-0.030000	0.003500	-0.011300
-0.002700	-0.030000	-0.012000	0.000700
-0.006300	-0.030000	0.000700	0.006200
-0.022700	-0.030000	-0.008600	0.036100
-0.022200	-0.030000	-0.005800	0.041900
-0.042400	-0.020000	-0.016700	0.058600
-0.020100	0.030000	0.010300	0.070700
0.006200	0.030000	0.027000	0.043700
0.036100	0.020000	0.021300	0.026600
0.040500	-0.030000	-0.001400	0.028000
0.051600	-0.020000	-0.005600	0.033600
0.070700	0.030000	0.029400	0.021200
0.036200	0.030000	-0.007500	0.028700
0.026600	0.030000	0.011700	0.017000
0.020500	0.030000	-0.007500	0.042700
0.029500	0.030000	0.003400	0.039300
0.021200	0.020000	0.021100	0.018200
0.024800	-0.030000	-0.003900	0.033900
0.009100	-0.020000	-0.004000	0.067900
0.042700	0.030000	0.026100	0.041800
0.029500	0.030000	-0.009800	0.051600
0.014300	0.030000	0.005900	0.045700
0.033900	0.030000	0.015700	0.030000
0.067900	0.020000	0.030000	-0.006600
0.034300	-0.030000	-0.007500	0.022200
0.045000	-0.030000	0.000900	0.021300
0.019300	-0.030000	-0.019800	0.041100
0.003600	-0.020000	0.000000	0.041100
-0.009000	0.030000	0.017400	0.023700
0.022200	0.020000	0.023700	0.006000
0.005600	-0.030000	-0.015700	0.050200
0.032900	-0.030000	0.007500	0.042700
0.036600	-0.030000	0.003700	0.039000
0.009000	-0.020000	-0.010200	0.049200
0.006000	0.030000	0.020700	0.033100
0.050200	0.020000	0.028500	0.009900
0.032900	-0.030000	-0.009800	0.051600
0.027400	-0.020000	-0.001800	0.053400
0.044800	0.030000	0.007200	0.046200
0.033100	0.030000	0.009000	0.037200
0.009900	0.030000	0.005300	0.047600
0.051600	0.020000	0.031900	0.015700
0.047400	-0.030000	-0.006000	0.021700
0.034100	-0.020000	-0.006100	0.027800
0.028600	0.030000	0.003500	0.034500
0.047600	0.020000	0.024300	0.010200
0.008100	-0.030000	-0.007600	0.017800
-0.013200	-0.020000	-0.027300	0.045100
0.010400	0.030000	0.017500	0.027600
0.034500	0.020000	0.027600	-0.024700
-0.020000	-0.030000	-0.030200	0.005500
-0.027100	-0.030000	-0.014700	0.020200
0.020400	-0.030000	0.020200	-0.032700
-0.029800	-0.030000	-0.032700	-0.045900
-0.105400	-0.030000	-0.048000	0.002100
-0.076100	-0.030000	-0.000900	0.003000
-0.074500	-0.030000	-0.013100	0.017900
-0.078600	-0.030000	0.016100	0.001800
-0.066400	-0.030000	-0.020500	0.022300
-0.030800	-0.020000	-0.012400	0.034700
-0.028900	0.030000	0.001000	0.033700
0.017900	0.020000	0.033700	0.026700
-0.001900	-0.030000	-0.003700	0.030400
0.013900	-0.030000	-0.004700	0.058800
0.008500	-0.020000	-0.017800	0.076600
0.026600	0.030000	0.019100	0.057500
0.026700	0.030000	0.033800	0.029300
0.027700	0.030000	-0.002700	0.041700
0.058800	0.020000	0.026400	0.035500
0.073900	-0.030000	-0.002700	0.038200
0.043200	-0.020000	-0.011600	0.049800
0.029300	0.030000	0.019900	0.029900
0.041700	0.030000	0.009700	0.020200
0.035500	0.020000	0.020200	-0.001700
0.036500	-0.030000	-0.001700	-0.004100
0.030900	-0.030000	-0.017200	0.013100
0.010100	-0.030000	-0.000900	0.014000
-0.007500	-0.030000	-0.007900	0.021900
-0.046300	-0.020000	-0.018600	0.062500
-0.004100	0.030000	0.040500	0.022000
0.001000	0.030000	-0.012100	0.035000
0.003700	0.030000	0.001800	0.062800
0.015100	0.030000	0.003500	0.079000
0.062500	0.030000	0.028800	0.050200
0.017800	0.030000	-0.004200	0.057800
0.035000	0.030000	0.005100	0.058300
0.062800	0.030000	0.029600	0.038300
0.079000	0.030000	0.019700	0.018600
0.038100	0.030000	-0.012100	0.030700
0.057800	0.030000	0.015500	0.015200
0.058300	0.030000	0.005600	0.010900
0.038300	0.020000	0.009600	0.001300
-0.013900	-0.030000	-0.032500	0.033800
0.012100	-0.030000	0.013900	0.019900
-0.017100	-0.020000	-0.013700	0.033600
0.010900	0.030000	0.033600	-0.000800
0.000500	0.020000	-0.000800	-0.016600
0.016400	-0.030000	-0.016600	-0.002400
-0.005600	-0.030000	-0.008100	0.005700
0.013800	-0.030000	0.005700	-0.034200
-0.063400	-0.030000	-0.043600	0.009400
-0.069400	-0.030000	-0.006800	0.016200
-0.036600	-0.030000	0.016200	-0.025100
-0.053600	-0.030000	-0.025100	-0.008600
-0.067900	-0.030000	-0.008600	-0.047600
-0.071900	-0.030000	-0.047600	-0.004500
-0.077800	-0.030000	-0.012700	0.009100
-0.129000	-0.030000	-0.035000	0.044100
-0.078100	-0.030000	0.025800	0.018300
-0.086200	-0.030000	-0.016700	0.035000
-0.004500	-0.030000	0.034100	0.000900
0.009100	-0.030000	0.000900	0.000000
